content,corr_original_vs_decrypted,corr_original_vs_scrambled,exact_recovery,seed,similarity_decrypted_pct,similarity_scrambled_pct
smooth,1.0,-0.05804752577900199,True,44257,100.0,5.804752577900199
edges,1.0,-0.05078546390775316,True,44257,100.0,5.078546390775316
texture,1.0,0.022810400122280878,True,44257,100.0,2.281040012228088
smooth,1.0,0.06315269974896344,True,1234,100.0,6.315269974896344
edges,1.0,-0.047690079787567556,True,1234,100.0,4.769007978756756
texture,1.0,0.02205452696251327,True,1234,100.0,2.205452696251327
smooth,1.0,0.03575776979361813,True,1111,100.0,3.5757769793618133
edges,1.0,0.06673228330542913,True,1111,100.0,6.673228330542913
texture,1.0,0.008988330728290236,True,1111,100.0,0.8988330728290237
