a,b,channel,diffs,equivalence_hi90,equivalence_lo90,equivalence_margin,equivalence_verdict,equivalent,family_label,hi,holm_note,in_family,is_primary,lo,mean,method,metric,n_boot,n_diffs,n_scenes,n_scenes_dropped,n_units,n_units_dropped,p_bootstrap,p_holm,p_raw,p_source,p_wilcoxon,scenes_only_in_a,scenes_only_in_b,significant_at_95,significant_holm,unit_of_independence,units,units_only_in_a,units_only_in_b
B0a-R,B2,bursty,5.430321;5.158218;4.784772;5.837719;4.953891;4.554962;5.544828;5.219480;4.690784;4.606363;4.950312;5.725447;5.773711;5.208005;4.809691;5.205462;4.696403,5.290460060371541,4.9674555339526245,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [+4.97; +5.29]): різниця просто не встановлена,False,exploratory,5.323668214622048,поза наперед оголошеною сім'єю; не коригується,False,False,4.940586392106148,5.126492276002374,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a-R,B3,bursty,-6.060608;-11.791051;-5.504364;-11.285737;-8.283172;-8.500074;-10.130516;-5.483779;-5.589369;-5.446376;-5.238776;-6.638826;-5.839712;-6.308379;-10.554253;-4.444645;-4.383453,-6.233374805419912,-8.122993227800562,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-8.12; -6.23]): різниця просто не встановлена,False,exploratory,-6.085794262445911,поза наперед оголошеною сім'єю; не коригується,False,False,-8.319275869134556,-7.146064146958827,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a-R,B4,bursty,-0.885178;-7.885772;-2.443709;-5.516739;-2.729044;-3.893360;-3.951113;0.259728;-1.651022;-0.299870;-0.483152;0.910362;-0.584625;-1.043680;-7.334095;-1.610159;-0.526733,-1.373594522889952,-3.391736068012194,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-3.39; -1.37]): різниця просто не встановлена,False,exploratory,-1.212180345079197,поза наперед оголошеною сім'єю; не коригується,False,False,-3.606179971854071,-2.333421183280602,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,0.00039996000399960006,nan,0.00039996000399960006,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0003814697265625,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a-R,B4t,bursty,-2.390908;-8.666583;-3.034642;-6.175402;-5.108484;-5.188531;-7.397384;-1.800035;-2.876242;-2.616008;-2.477468;-2.715618;-3.483110;-2.429306;-8.169438;-2.163725;-1.388501,-3.134891215369111,-4.944273094999948,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-4.94; -3.13]): різниця просто не встановлена,False,exploratory,-3.0067862821474978,поза наперед оголошеною сім'єю; не коригується,False,False,-5.138054075618974,-4.00478738625268,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a-R,P,bursty,-1.844717;-8.187249;-2.427794;-5.970380;-3.675006;-3.615340;-5.775131;-1.371091;-1.982387;-1.937725;-1.575834;-2.713402;-2.539657;-1.618211;-7.273002;-1.590511;-0.987640,-2.4280735472296318,-4.1391585348452145,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-4.14; -2.43]): різниця просто не встановлена,False,exploratory,-2.3071442337098995,поза наперед оголошеною сім'єю; не коригується,False,False,-4.331101704143455,-3.2402987130840315,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0d,B1,bursty,6.253695;12.831988;7.175063;11.533466;7.959020;8.517066;9.704956;5.095498;6.213698;5.267187;5.391993;5.117783;6.381421;6.112536;12.091484;6.953490;5.236455,8.550343324483576,6.569377234972454,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [+6.57; +8.55]): різниця просто не встановлена,False,exploratory,8.778812094812887,поза наперед оголошеною сім'єю; не коригується,False,False,6.42189529975254,7.519811692514422,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0d,B2,bursty,6.340197;12.832868;7.183423;11.531257;7.873549;8.427876;9.688284;4.914878;6.215956;5.142694;5.357721;5.074697;6.391929;6.162429;12.119182;6.872244;5.261995,8.531662905677688,6.536576382858667,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [+6.54; +8.53]): різниця просто не встановлена,False,exploratory,8.764564811103341,поза наперед оголошеною сім'єю; не коригується,False,False,6.3877678912501,7.493598774466595,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0d,B3,bursty,-5.150732;-4.116402;-3.105713;-5.592198;-5.363514;-4.627160;-5.987059;-5.788382;-4.064198;-4.910044;-4.831367;-7.289577;-5.221493;-5.353955;-3.244762;-2.777863;-3.817860,-4.336559663833331,-5.231952026607693,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-5.23; -4.34]): різниця просто не встановлена,False,exploratory,-4.249776254729631,поза наперед оголошеною сім'єю; не коригується,False,False,-5.317445321909603,-4.778957648494604,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0d,B4,bursty,0.024698;-0.211122;-0.045057;0.176799;0.190614;-0.020446;0.192343;-0.044875;-0.125851;0.236461;-0.075743;0.259611;0.033594;-0.089256;-0.024604;0.056624;0.038860,0.0858798638203078,-0.0190876440964422,0.5,еквівалентність у межах ±0.5 показана (90% CI [-0.02; +0.09]),True,exploratory,0.09611838104044211,поза наперед оголошеною сім'єю; не коригується,False,False,-0.02942449861689044,0.03368531518361973,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,0.2927707229277072,nan,0.2927707229277072,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.4873809814453125,,,False,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0d,B4t,bursty,-1.481032;-0.991933;-0.635990;-0.481864;-2.188826;-1.315617;-3.253927;-2.104638;-1.351071;-2.079677;-2.070060;-3.366369;-2.864891;-1.474882;-0.859947;-0.496943;-0.822909,-1.285374327388487,-2.010343166478491,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-2.01; -1.29]): різниця просто не встановлена,False,exploratory,-1.228040185886985,поза наперед оголошеною сім'єю; не коригується,False,False,-2.072535037593312,-1.6376808877884574,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
