bit_exact,channel,channel_axis,channel_plan,channel_value,clip,corrected_symbols,coverage,estimated_fraction,frame_id,job_id,max_age_frames,method,mse_full,payload_bytes,provenance,psnr_full,psnr_verified,rasters,repetition,resynchronised,scene,ssim_full,ssim_verified,stale_fraction,status_auth_failed,status_filler,status_fragment_recovered,status_frame_verified,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_raster_dropped,status_verified,symbol_error_denominator,symbol_errors_pre_fec,sync_found,trace_id,units_rejected,units_sent,units_verified,wire_bytes,x_authenticated,x_channel_trace,x_combine,x_coverage_meaning,x_est_dx,x_est_dy,x_filler_units,x_fragments,x_fragments_recovered,x_frame_verified,x_rasters_delivered,x_repetitions_received,x_repetitions_sent,x_segments,x_sync_score,x_units_from_other_frames,x_units_per_raster
False,clean,,clean,nan,uav_sea_open,0,1.0,0.0,14,509138df99dae555,0.0,B0a,0.3082478841145833,0,local_file,53.24180256688591,53.24180256688591,1,4,False,uav:sea_open,0.99867634066331,0.99867634066331,0.0,,,,,,,,,,,0,nan,True,clean|uav_sea_open|clean|rep4|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
False,mild,,mild,nan,uav_sea_open,0,1.0,0.0,0,86b305e95f7623fd,0.0,B0a,73.91196695963542,0,local_file,29.44365600906393,29.44365600906393,1,3,False,uav:sea_open,0.917287890664868,0.917287890664868,0.0,,,,,,,,,,,0,nan,True,mild|uav_sea_open|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9781348283827457,,
False,mild,,mild,nan,uav_sea_open,0,1.0,0.0,2,86b305e95f7623fd,0.0,B0a,75.75400797526042,0,local_file,29.33674745535262,29.33674745535262,1,3,False,uav:sea_open,0.9182443374187234,0.9182443374187234,0.0,,,,,,,,,,,0,nan,True,mild|uav_sea_open|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9566117624384088,,
False,mild,,mild,nan,uav_sea_open,0,1.0,0.0,4,86b305e95f7623fd,0.0,B0a,76.13759358723958,0,local_file,29.314812145295473,29.314812145295473,1,3,False,uav:sea_open,0.9205628830434843,0.9205628830434843,0.0,,,,,,,,,,,0,nan,True,mild|uav_sea_open|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9511167894781335,,
False,mild,,mild,nan,uav_sea_open,0,1.0,0.0,6,86b305e95f7623fd,0.0,B0a,77.30067952473958,0,local_file,29.248970491934717,29.248970491934717,1,3,False,uav:sea_open,0.9203661280091238,0.9203661280091238,0.0,,,,,,,,,,,0,nan,True,mild|uav_sea_open|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.965269326828934,,
False,mild,,mild,nan,uav_sea_open,0,1.0,0.0,8,86b305e95f7623fd,0.0,B0a,81.73940022786458,0,local_file,29.006489141657447,29.006489141657447,1,3,False,uav:sea_open,0.9196941362083942,0.9196941362083942,0.0,,,,,,,,,,,0,nan,True,mild|uav_sea_open|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9594619559071149,,
False,mild,,mild,nan,uav_sea_open,0,1.0,0.0,10,86b305e95f7623fd,0.0,B0a,77.75604248046875,0,local_file,29.223462125072082,29.223462125072082,1,3,False,uav:sea_open,0.9204170076538044,0.9204170076538044,0.0,,,,,,,,,,,0,nan,True,mild|uav_sea_open|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9408724312164205,,
False,mild,,mild,nan,uav_sea_open,0,1.0,0.0,12,86b305e95f7623fd,0.0,B0a,81.02522786458333,0,local_file,29.044600998098584,29.044600998098584,1,3,False,uav:sea_open,0.9203790424021139,0.9203790424021139,0.0,,,,,,,,,,,0,nan,True,mild|uav_sea_open|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9568221148031351,,
False,mild,,mild,nan,uav_sea_open,0,1.0,0.0,14,86b305e95f7623fd,0.0,B0a,81.56581624348958,0,local_file,29.015721742621643,29.015721742621643,1,3,False,uav:sea_open,0.9201165659725552,0.9201165659725552,0.0,,,,,,,,,,,0,nan,True,mild|uav_sea_open|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9373573665871696,,
False,mild,,mild,nan,uav_sea_open,0,1.0,0.0,0,32febc63db7a93a5,0.0,B0a,76.58205159505208,0,local_file,29.289533641673486,29.289533641673486,1,0,False,uav:sea_open,0.9167734978215746,0.9167734978215746,0.0,,,,,,,,,,,0,nan,True,mild|uav_sea_open|mild|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9693534667036324,,
