calls,max_ms,mean_ms,median_ms,n_samples,p95_ms,p99_ms,resolution,stage,total_s,warmup_discarded
18,1.3427999992927653,0.9984388888268666,0.9265999997296603,18,1.2963899999704154,1.333517999428295,128x96,tx.source_coding,0.0179718999988836,1
120,4.852099999880011,2.571450833337015,2.5424000000384694,120,3.8288199998532946,4.695489999767233,128x96,tx.crypto,0.30857410000044183,1
120,0.26669999988371274,0.08114750000913773,0.07795000010446529,120,0.11146500055474458,0.1548559996808763,128x96,tx.modulation,0.009737700001096528,1
24,3.090199999860488,1.671562499988492,1.5640999999959604,24,2.334459999929094,2.932787999870925,128x96,tx.raster,0.040117499999723805,1
24,22.122300000773976,20.701324999966648,20.570499999848835,24,21.75833499959481,22.040834000472387,128x96,rx.demodulation,0.4968317999991996,1
108,0.21240000023681205,0.0628750000807351,0.05430000010164804,108,0.0964650004789291,0.1780830001371211,128x96,rx.deinterleave,0.006790500008719391,1
108,3.692100000080245,1.8739157407068248,1.6951500001596287,108,2.874415000314911,3.119692999980543,128x96,rx.fec_header,0.20238289999633707,1
105,35.64549999919109,15.92741523809742,17.339300000458024,105,27.891240000280956,33.00698399973044,128x96,rx.fec_payload,1.6723786000002292,1
88,0.05979999968985794,0.01950795455162403,0.019049999991693767,88,0.022720000288245494,0.039702999374639954,128x96,rx.aead,0.0017167000005429145,1
72,0.48010000045906054,0.23159027778597696,0.2231000003121153,72,0.3113049998773932,0.39411900053892246,128x96,rx.source_decoding,0.016674500000590342,1
6,0.5256999993434874,0.30801666631911456,0.21934999949735356,6,0.5255749995285441,0.5256749993804988,128x96,B0d.assembly,0.0018480999979146873,1
6,0.9146000002147048,0.7255000000441214,0.6973999998081126,6,0.8639250002033805,0.90446500021244,128x96,B3.source_coding,0.0043530000002647284,1
6,0.028899999961140566,0.024849999893679826,0.02570000015111873,6,0.02837499982888403,0.028794999934689258,128x96,B3.crypto,0.00014909999936207896,1
6,21.219700000074226,20.483400000102847,20.4303999998956,6,21.128300000100353,21.20142000007945,128x96,B3.demodulation,0.12290040000061708,1
6,0.15160000020841835,0.10330000001583055,0.10025000028690556,6,0.14735000013388344,0.15075000019351137,128x96,B3.assembly,0.0006198000000949833,1
3,0.01919999976962572,0.01559999964229064,0.0182999992830446,3,0.019109999720967608,0.019181999759894097,128x96,B3.aead,4.679999892687192e-05,1
6,0.5712000001949491,0.24093333316462426,0.21490000017365674,6,0.4969000001437962,0.5563400001847185,128x96,B4.assembly,0.0014455999989877455,1
6,0.7320999993680744,0.43559999979455216,0.3988999997091014,6,0.6751499995516497,0.7207099994047894,128x96,P.assembly,0.002613599998767313,1
18,4.615699999703793,3.046716666580728,2.9678999999305233,18,3.571899999633386,4.40693999968971,256x192,tx.source_coding,0.054840899998453096,1
204,5.47779999942577,2.5402504901934413,2.5334500001008564,204,3.832424999700379,4.739473999743495,256x192,tx.crypto,0.518211099999462,1
204,0.15609999991283985,0.08186225488102268,0.08164999962900765,204,0.11135000040667363,0.13281499941513175,256x192,tx.modulation,0.01669989999572863,1
42,2.2816999999122345,1.6030166666063277,1.5221500002553512,42,2.1197500003836462,2.277230999816311,256x192,tx.raster,0.06732669999746577,1
42,33.89470000001893,20.903514285713584,20.40809999971316,42,23.503629999777324,29.914420000186475,256x192,rx.demodulation,0.8779475999999704,1
176,0.23439999949914636,0.05744715912214815,0.052800000048591755,176,0.08032500022636668,0.17329999991488876,256x192,rx.deinterleave,0.010110700005498074,1
176,2.9967000000397093,1.7549863636128809,1.5579500000058033,176,2.6171499998781655,2.9158999996070634,256x192,rx.fec_header,0.30887759999586706,1
172,34.368800000265765,16.214161627885915,17.412599999715894,172,27.249864999521375,33.03946900054142,256x192,rx.fec_payload,2.7888357999963773,1
148,0.08690000049682567,0.020233108136528392,0.019350000457052374,148,0.026754999771583247,0.0461180004185735,256x192,rx.aead,0.002994500004206202,1
136,0.5579000007855939,0.2773485294068558,0.2636500003063702,136,0.3727749999598018,0.4486349998387598,256x192,rx.source_decoding,0.03771939999933238,1
6,1.7586000003575464,1.0748333334049676,1.0655000000951986,6,1.7299250002906774,1.7528650003441726,256x192,B0d.assembly,0.006449000000429805,1
6,2.3668000003453926,2.245716666796701,2.2341500002767134,6,2.3447500002475863,2.3623900003258314,256x192,B3.source_coding,0.013474300000780204,1
6,0.030599999263358768,0.027349999678942066,0.028750000183208613,6,0.03042499929506448,0.03056499926969991,256x192,B3.crypto,0.0001640999980736524,1
6,21.353600000111328,20.4468333334565,20.428700000138633,6,21.16210000008323,21.315300000105708,256x192,B3.demodulation,0.122681000000739,1
6,0.40660000013303943,0.2853500001644231,0.2843500001290522,6,0.40515000023333414,0.40631000015309837,256x192,B3.assembly,0.0017121000009865384,1
3,0.018900000213761814,0.01543333352553115,0.01849999989644857,3,0.01886000018203049,0.01889200020741555,256x192,B3.aead,4.630000057659345e-05,1
6,1.8540999999459018,0.6497333332238971,0.5387500000324508,6,1.550374999851556,1.7933549999270328,256x192,B4.assembly,0.0038983999993433827,1
6,2.3430999999618507,1.2116666668286296,0.7237500003611785,6,2.336400000103822,2.341759999990245,256x192,P.assembly,0.007270000000971777,1
14,4.589000000123633,4.056592857068608,4.054999999880238,14,4.496504999906392,4.570501000080184,320x240,tx.source_coding,0.056792299998960516,1
144,4.09739999940939,2.344798611141464,2.7301499999339285,144,3.7491600006433146,4.051632000455356,320x240,tx.crypto,0.33765100000437087,1
144,0.31459999991056975,0.08698263887809944,0.08779999961916474,144,0.11647999967863142,0.13584000002083485,320x240,tx.modulation,0.012525499998446321,1
36,2.5081000003410736,1.525119444497452,1.499300000432413,36,1.6366000002108194,2.2064350003347486,320x240,tx.raster,0.05490430000190827,1
36,21.86710000023595,20.324383333293856,20.111199999973906,36,21.519200000511773,21.759510000356386,320x240,rx.demodulation,0.7316777999985788,1
128,0.11720000020432053,0.06110156250116461,0.05689999989044736,128,0.08549999984097667,0.10385200025666569,320x240,rx.deinterleave,0.00782100000014907,1
128,3.0228000005081412,1.7316851562867441,1.538400000299589,128,2.5639550001869784,2.8822840002430903,320x240,rx.fec_header,0.22165570000470325,1
127,26.847900000575464,14.432527559133238,16.021100000216393,127,23.043720000077883,26.140308000321962,320x240,rx.fec_payload,1.8329310000099213,1
108,0.026400000024295878,0.01704814815605426,0.016799999684735667,108,0.02249999943160219,0.02429999949526973,320x240,rx.aead,0.0018412000008538598,1
84,0.48860000060813036,0.3312285714075967,0.32904999989114003,84,0.3919399995538697,0.45257800034050893,320x240,rx.source_decoding,0.027823199998238124,1
6,2.758699999503733,1.7408499999570874,1.7567499999131542,6,2.7453249997506646,2.7560249995531194,320x240,B0d.assembly,0.010445099999742524,1
6,3.5054999998465064,3.3201166667519524,3.3248000004277856,6,3.4716749999006424,3.4987349998573336,320x240,B3.source_coding,0.019920700000511715,1
6,0.030899999728717376,0.027733333354262868,0.029750000066997018,6,0.030849999802740058,0.030889999743521912,320x240,B3.crypto,0.0001664000001255772,1
6,20.83550000043033,20.005583333386312,19.937099999879138,6,20.68967500031249,20.80633500040676,320x240,B3.demodulation,0.12003350000031787,1
6,0.6202000004122965,0.406466666693935,0.39115000026868074,6,0.6199750002906512,0.6201550003879674,320x240,B3.assembly,0.00243880000016361,1
3,0.0183000001925393,0.01536666635123159,0.018199999431089964,3,0.018290000116394367,0.018298000177310314,320x240,B3.aead,4.6099999053694773e-05,1
6,2.854599999409402,1.7119333330507895,1.7346499998893705,6,2.748874999497275,2.8334549994269764,320x240,B4.assembly,0.010271599998304737,1
14,6.355900000016845,5.609892857137311,5.565350000324543,14,6.2489749998803745,6.33451499998955,384x288,tx.source_coding,0.07853849999992235,1
144,4.201900000225578,2.457819444461822,2.7920999996240425,144,3.8733749997845734,4.13421000006565,384x288,tx.crypto,0.3539260000025024,1
144,0.2541999992899946,0.09202083332285028,0.092050000148447,144,0.11351000007380208,0.17479999962233697,384x288,tx.modulation,0.013250999998490443,1
36,2.3350999999820488,1.562088888830557,1.525600000150007,36,1.7647999995915598,2.1580700000868083,384x288,tx.raster,0.056235199997900054,1
36,25.221299999429903,20.734969444371625,20.546900000226742,36,22.418824999476783,24.503694999566502,384x288,rx.demodulation,0.7464588999973785,1
128,0.13559999933931977,0.06019687492653247,0.055699999848002335,128,0.08932500013543172,0.11489400042592027,384x288,rx.deinterleave,0.007705199990596157,1
128,3.4737000005407026,1.7502296875022694,1.5401499995277845,128,2.6037500001621083,3.1238590001612487,384x288,rx.fec_header,0.22402940000029048,1
126,34.97970000080386,15.560946031734876,17.659999999978027,126,24.471875000017462,28.500449999910415,384x288,rx.fec_payload,1.9606791999985944,1
108,0.02880000010918593,0.01835740743074523,0.018449999970471254,108,0.02525999989302363,0.027178999780517188,384x288,rx.aead,0.001982600002520485,1
108,0.6010999995851307,0.3738361111421303,0.36174999968352495,108,0.44633000006797374,0.5708990003222421,384x288,rx.source_decoding,0.04037430000335007,1
6,3.7539999993896345,2.3095666667056016,2.2994500000095286,6,3.7412249996577884,3.7514449994432653,384x288,B0d.assembly,0.01385740000023361,1
6,4.971000000296044,4.651133333330411,4.623049999736395,6,4.89167500018084,4.955135000273003,384x288,B3.source_coding,0.027906799999982468,1
