admissible,bits_per_frame,codec,n_descriptions,n_frames,psnr_full,quality,reason,ssim_full,stripe_height,units_per_frame,wire_bytes_per_frame
True,28810.0,jpeg,1,8,33.22973277309326,12,,0.8784150073603598,24,8.0,10304.0
True,30661.0,jpeg,1,8,34.60342554041486,18,,0.9008082993123492,24,8.0,10304.0
True,32961.0,jpeg,1,8,35.64011814220471,25,,0.917494303595418,24,8.125,10948.0
True,41337.0,jpeg,1,8,36.5969206651888,35,,0.9312312510608882,24,10.25,15456.0
True,45115.2,jpeg,1,5,38.41521885558684,50,,0.9502051878208475,24,11.2,15456.0
False,,jpeg,1,,,70,не вміщується у спільний бюджет каналу,,24,,
True,27656.5,jpeg,1,16,28.132654308613468,8,,0.7672413455902526,48,6.25,8694.0
True,34605.142857142855,jpeg,1,14,30.0299597212219,12,,0.8219757829290293,48,7.714285714285714,11040.0
True,26771.0,jpeg,1,8,34.6043936917344,18,,0.9007122910877245,48,6.5,10304.0
True,31038.0,jpeg,1,8,35.63916431027188,25,,0.9175763918473159,48,7.375,10948.0
True,40486.857142857145,jpeg,1,7,36.79332764171136,35,,0.9336765725526214,48,10.0,13984.0
True,43580.0,jpeg,1,4,38.900536357247205,50,,0.9545414463033169,48,11.0,15456.0
False,,jpeg,1,,,70,не вміщується у спільний бюджет каналу,,48,,
False,,jpeg,2,,,8,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,2,,,12,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,2,,,18,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,2,,,25,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,2,,,35,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,2,,,50,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,2,,,70,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,2,,,8,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,2,,,12,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,2,,,18,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,2,,,25,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,2,,,35,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,2,,,50,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,2,,,70,не вміщується у спільний бюджет каналу,,24,,
True,32634.0,jpeg,2,16,27.028291854731997,8,,0.7031714146563874,48,8.0,10304.0
True,29295.0,jpeg,2,8,32.07480655542153,12,,0.855746398995973,48,8.0,10304.0
True,31428.0,jpeg,2,8,33.19672122603009,18,,0.8756497065477444,48,8.0,10304.0
True,36317.0,jpeg,2,8,34.08817385540803,25,,0.8942609736933216,48,9.0,12880.0
True,39030.0,jpeg,2,4,36.16059389126449,35,,0.9351396282574885,48,10.0,15456.0
True,47416.0,jpeg,2,1,37.52924528105937,50,,0.9461500202546325,48,12.0,15456.0
False,,jpeg,2,,,70,не вміщується у спільний бюджет каналу,,48,,
False,,jpeg,4,,,8,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,4,,,12,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,4,,,18,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,4,,,25,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,4,,,35,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,4,,,50,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,4,,,70,не вміщується у спільний бюджет каналу,,16,,
False,,jpeg,4,,,8,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,4,,,12,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,4,,,18,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,4,,,25,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,4,,,35,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,4,,,50,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,4,,,70,не вміщується у спільний бюджет каналу,,24,,
False,,jpeg,4,,,8,не вміщується у спільний бюджет каналу,,48,,
False,,jpeg,4,,,12,не вміщується у спільний бюджет каналу,,48,,
False,,jpeg,4,,,18,не вміщується у спільний бюджет каналу,,48,,
False,,jpeg,4,,,25,не вміщується у спільний бюджет каналу,,48,,
False,,jpeg,4,,,35,не вміщується у спільний бюджет каналу,,48,,
False,,jpeg,4,,,50,не вміщується у спільний бюджет каналу,,48,,
False,,jpeg,4,,,70,не вміщується у спільний бюджет каналу,,48,,
