availability,coverage,label,order,psnr_displayed,psnr_full,scene,step
0.9583333333333334,0.6927083333333334,B4 (база),fwd,20.658272066643708,20.493217661555946,uav:cal_canopy_mix,0
0.875,0.7083333333333334,B4 (база),fwd,27.871979028537698,27.212923502191618,uav:cal_dune_flat,0
0.875,0.6458333333333334,B4 (база),fwd,21.304402514348407,20.567140266691762,uav:cal_sea_edge,0
0.9583333333333334,0.7447916666666666,B4 (база),fwd,28.452916505347783,27.96034548686336,uav:cal_water_east,0
0.9166666666666666,0.6302083333333334,B4 (база),fwd,21.30485051353294,20.85034268623868,uav:dune_fast,0
1.0,0.7604166666666666,B4 (база),fwd,23.16575329277262,23.16575329277262,uav:dune_forest_edge,0
0.9583333333333334,0.734375,B4 (база),fwd,23.527777452018267,23.27908061626788,uav:dune_ridge,0
0.9166666666666666,0.6979166666666666,B4 (база),fwd,20.342593078699394,20.207585459097672,uav:forest_canopy,0
1.0,0.7916666666666666,B4 (база),fwd,21.995272470347373,21.995272470347373,uav:forest_fast,0
0.9166666666666666,0.78125,B4 (база),fwd,23.4848191579368,22.936025430032952,uav:sea_open,0
0.9583333333333334,0.6614583333333334,B4 (база),fwd,20.023961043510663,19.851068387266633,uav:shoreline,0
1.0,0.6979166666666666,B4 (база),fwd,22.03870406700669,22.03870406700669,uav:sky_horizon,0
0.9583333333333334,0.7083333333333334,B4 (база),fwd,22.691685004080426,22.343211788304455,uav:spit_far,0
0.9583333333333334,0.640625,B4 (база),fwd,20.970318659796124,20.66051947247084,uav:val_coast_curve,0
0.9583333333333334,0.8177083333333334,B4 (база),fwd,27.79961717236314,27.422327847983606,uav:val_sand_texture,0
0.9166666666666666,0.75,B4 (база),fwd,22.785774349086807,22.308992291711437,uav:val_treeline,0
0.9166666666666666,0.6510416666666666,B4 (база),fwd,21.78009970569298,21.585887553009815,uav:village,0
0.9583333333333334,0.71875,+ менша одиниця 640→320 Б,fwd,20.05182475411355,19.929345359376846,uav:cal_canopy_mix,1
0.875,0.7447916666666666,+ менша одиниця 640→320 Б,fwd,28.601074134531725,27.94201860818565,uav:cal_dune_flat,1
0.9583333333333334,0.6979166666666666,+ менша одиниця 640→320 Б,fwd,21.073835186723418,20.780861280355968,uav:cal_sea_edge,1
0.9583333333333334,0.796875,+ менша одиниця 640→320 Б,fwd,28.007087273184194,27.77363990922016,uav:cal_water_east,1
0.9166666666666666,0.625,+ менша одиниця 640→320 Б,fwd,20.93129509032732,20.43250537292527,uav:dune_fast,1
1.0,0.7708333333333334,+ менша одиниця 640→320 Б,fwd,21.437657649337172,21.437657649337172,uav:dune_forest_edge,1
0.9583333333333334,0.7708333333333334,+ менша одиниця 640→320 Б,fwd,24.120125229533162,23.785143700903465,uav:dune_ridge,1
0.625,0.4748128255208333,+ менша одиниця 640→320 Б,fwd,17.68019705983852,19.907141359244328,uav:forest_canopy,1
1.0,0.7760416666666666,+ менша одиниця 640→320 Б,fwd,21.939649632528873,21.939649632528873,uav:forest_fast,1
0.9166666666666666,0.8046875,+ менша одиниця 640→320 Б,fwd,24.07736943413434,23.504247402068604,uav:sea_open,1
1.0,0.6744791666666666,+ менша одиниця 640→320 Б,fwd,20.31583246784269,20.31583246784269,uav:shoreline,1
1.0,0.6927083333333334,+ менша одиниця 640→320 Б,fwd,21.829979083810553,21.829979083810553,uav:sky_horizon,1
0.9583333333333334,0.71875,+ менша одиниця 640→320 Б,fwd,23.297469100582774,22.948995884806795,uav:spit_far,1
0.9583333333333334,0.6953125,+ менша одиниця 640→320 Б,fwd,21.39419040808363,21.086870943037727,uav:val_coast_curve,1
