burst_len_lines,channel,coverage,gain,grid,method,n_scenes,noise_sigma,offset,psnr_full,psnr_full_sd
32,mild[noise_sigmaxburst_len_lines=22],1.0,,noise_x_burst,P,6,12,,25.481470859711024,2.4601562153399206
48,mild[noise_sigmaxburst_len_lines=23],1.0,,noise_x_burst,B0a-R,6,12,,27.41734927519759,0.8117497219897809
48,mild[noise_sigmaxburst_len_lines=23],1.0,,noise_x_burst,B4,6,12,,27.814705014858443,2.38756929112487
48,mild[noise_sigmaxburst_len_lines=23],1.0,,noise_x_burst,P,6,12,,25.481470859711024,2.4601562153399206
1,mild[noise_sigmaxburst_len_lines=24],1.0,,noise_x_burst,B0a-R,6,16,,26.565456212886463,0.5594243524542346
1,mild[noise_sigmaxburst_len_lines=24],1.0,,noise_x_burst,B4,6,16,,27.814705014858443,2.38756929112487
1,mild[noise_sigmaxburst_len_lines=24],1.0,,noise_x_burst,P,6,16,,25.481470859711024,2.4601562153399206
4,mild[noise_sigmaxburst_len_lines=25],1.0,,noise_x_burst,B0a-R,6,16,,26.570149940574467,0.5645735364328833
4,mild[noise_sigmaxburst_len_lines=25],1.0,,noise_x_burst,B4,6,16,,27.814705014858443,2.38756929112487
4,mild[noise_sigmaxburst_len_lines=25],1.0,,noise_x_burst,P,6,16,,25.481470859711024,2.4601562153399206
8,mild[noise_sigmaxburst_len_lines=26],1.0,,noise_x_burst,B0a-R,6,16,,26.543678275816546,0.5604638907984503
8,mild[noise_sigmaxburst_len_lines=26],1.0,,noise_x_burst,B4,6,16,,27.814705014858443,2.38756929112487
8,mild[noise_sigmaxburst_len_lines=26],1.0,,noise_x_burst,P,6,16,,25.481470859711024,2.4601562153399206
16,mild[noise_sigmaxburst_len_lines=27],1.0,,noise_x_burst,B0a-R,6,16,,26.54954337115142,0.5637877443921834
16,mild[noise_sigmaxburst_len_lines=27],1.0,,noise_x_burst,B4,6,16,,27.814705014858443,2.38756929112487
16,mild[noise_sigmaxburst_len_lines=27],1.0,,noise_x_burst,P,6,16,,25.481470859711024,2.4601562153399206
32,mild[noise_sigmaxburst_len_lines=28],1.0,,noise_x_burst,B0a-R,6,16,,26.56906634389217,0.5627862370859953
32,mild[noise_sigmaxburst_len_lines=28],1.0,,noise_x_burst,B4,6,16,,27.814705014858443,2.38756929112487
32,mild[noise_sigmaxburst_len_lines=28],1.0,,noise_x_burst,P,6,16,,25.481470859711024,2.4601562153399206
48,mild[noise_sigmaxburst_len_lines=29],1.0,,noise_x_burst,B0a-R,6,16,,26.575007882786455,0.5588645923661091
48,mild[noise_sigmaxburst_len_lines=29],1.0,,noise_x_burst,B4,6,16,,27.814705014858443,2.38756929112487
48,mild[noise_sigmaxburst_len_lines=29],1.0,,noise_x_burst,P,6,16,,25.481470859711024,2.4601562153399206
8,mild[noise_sigmaxburst_len_lines=2],1.0,,noise_x_burst,B0a-R,6,0,,29.147167664283728,1.6677400041509454
8,mild[noise_sigmaxburst_len_lines=2],1.0,,noise_x_burst,B4,6,0,,27.814705014858443,2.38756929112487
8,mild[noise_sigmaxburst_len_lines=2],1.0,,noise_x_burst,P,6,0,,25.481470859711024,2.4601562153399206
16,mild[noise_sigmaxburst_len_lines=3],1.0,,noise_x_burst,B0a-R,6,0,,29.146710833507537,1.6611061567376426
16,mild[noise_sigmaxburst_len_lines=3],1.0,,noise_x_burst,B4,6,0,,27.814705014858443,2.38756929112487
16,mild[noise_sigmaxburst_len_lines=3],1.0,,noise_x_burst,P,6,0,,25.481470859711024,2.4601562153399206
32,mild[noise_sigmaxburst_len_lines=4],1.0,,noise_x_burst,B0a-R,6,0,,29.13923344100374,1.6575177109452437
32,mild[noise_sigmaxburst_len_lines=4],1.0,,noise_x_burst,B4,6,0,,27.814705014858443,2.38756929112487
32,mild[noise_sigmaxburst_len_lines=4],1.0,,noise_x_burst,P,6,0,,25.481470859711024,2.4601562153399206
48,mild[noise_sigmaxburst_len_lines=5],1.0,,noise_x_burst,B0a-R,6,0,,29.13853268954367,1.6532025010686184
48,mild[noise_sigmaxburst_len_lines=5],1.0,,noise_x_burst,B4,6,0,,27.814705014858443,2.38756929112487
48,mild[noise_sigmaxburst_len_lines=5],1.0,,noise_x_burst,P,6,0,,25.481470859711024,2.4601562153399206
1,mild[noise_sigmaxburst_len_lines=6],1.0,,noise_x_burst,B0a-R,6,4,,29.012687624489967,1.493807034350841
1,mild[noise_sigmaxburst_len_lines=6],1.0,,noise_x_burst,B4,6,4,,27.814705014858443,2.38756929112487
1,mild[noise_sigmaxburst_len_lines=6],1.0,,noise_x_burst,P,6,4,,25.481470859711024,2.4601562153399206
4,mild[noise_sigmaxburst_len_lines=7],1.0,,noise_x_burst,B0a-R,6,4,,29.00973208538144,1.513200531697393
4,mild[noise_sigmaxburst_len_lines=7],1.0,,noise_x_burst,B4,6,4,,27.814705014858443,2.38756929112487
4,mild[noise_sigmaxburst_len_lines=7],1.0,,noise_x_burst,P,6,4,,25.481470859711024,2.4601562153399206
8,mild[noise_sigmaxburst_len_lines=8],1.0,,noise_x_burst,B0a-R,6,4,,29.01042060396708,1.507914440505878
