availability,bit_exact,channel,channel_axis,channel_plan,channel_value,clip,corrected_symbols,coverage,detail,displayed_source,estimated_fraction,frame_id,gap_policy,impaired,job_id,max_age_frames,method,mse_full,payload_bytes,provenance,psnr_displayed,psnr_full,psnr_verified,rasters,repetition,resynchronised,scenario,scenario_label,scene,ssim_full,ssim_verified,stale_fraction,status,status_filler,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_raster_dropped,status_verified,symbol_error_denominator,symbol_errors_pre_fec,sync_found,t_frame,trace_id,units_rejected,units_sent,units_verified,wire_bytes,x_authenticated,x_band_complete,x_band_degraded_frac,x_band_lost_frac,x_band_no_usable_description,x_band_partial_segments,x_band_reduced_descriptions,x_bands_total,x_channel_trace,x_combine,x_coverage_meaning,x_desc_fec_failed,x_desc_fec_failed_frac,x_desc_partial,x_desc_total,x_desc_touched,x_desc_touched_frac,x_desc_unusable,x_desc_unusable_frac,x_filler_units,x_rasters_delivered,x_repetitions_received,x_repetitions_sent,x_segments,x_units_from_other_frames,x_units_per_raster
1.0,False,harsh,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,10,"hold-last, neutral 128 until the first success",True,480b2c70579bd438,0.0,B0a-R,561.9534098307291,0,synthetic,20.6338005008919,20.6338005008919,20.6338005008919,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.28592366933865626,0.28592366933865626,0.0,ok,,,,,,,,0,nan,True,10,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,harsh,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,11,"hold-last, neutral 128 until the first success",True,480b2c70579bd438,0.0,B0a-R,527.2569173177084,0,synthetic,20.91058074716787,20.91058074716787,20.91058074716787,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.271869363100448,0.271869363100448,0.0,ok,,,,,,,,0,nan,True,11,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,harsh,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,12,"hold-last, neutral 128 until the first success",True,480b2c70579bd438,0.0,B0a-R,475.48077392578125,0,synthetic,21.359473999451637,21.359473999451637,21.359473999451637,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.3192679559272725,0.3192679559272725,0.0,ok,,,,,,,,0,nan,True,12,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,harsh,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,13,"hold-last, neutral 128 until the first success",True,480b2c70579bd438,0.0,B0a-R,507.66778564453125,0,synthetic,21.07500754998655,21.07500754998655,21.07500754998655,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.32131010661854903,0.32131010661854903,0.0,ok,,,,,,,,0,nan,True,13,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,harsh,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,14,"hold-last, neutral 128 until the first success",True,480b2c70579bd438,0.0,B0a-R,672.4921671549479,0,synthetic,19.85393130604163,19.85393130604163,19.85393130604163,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.26676961103556596,0.26676961103556596,0.0,ok,,,,,,,,0,nan,True,14,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,harsh,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,15,"hold-last, neutral 128 until the first success",True,480b2c70579bd438,0.0,B0a-R,437.17498779296875,0,synthetic,21.724250542833655,21.724250542833655,21.724250542833655,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.32887429054962425,0.32887429054962425,0.0,ok,,,,,,,,0,nan,True,15,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,harsh,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,16,"hold-last, neutral 128 until the first success",True,480b2c70579bd438,0.0,B0a-R,448.55824788411456,0,synthetic,21.61261514174268,21.61261514174268,21.61261514174268,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.33785721358288495,0.33785721358288495,0.0,ok,,,,,,,,0,nan,True,16,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,harsh,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,17,"hold-last, neutral 128 until the first success",True,480b2c70579bd438,0.0,B0a-R,478.0110270182292,0,synthetic,21.33642445599032,21.33642445599032,21.33642445599032,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.31537113478044954,0.31537113478044954,0.0,ok,,,,,,,,0,nan,True,17,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,harsh,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,18,"hold-last, neutral 128 until the first success",True,480b2c70579bd438,0.0,B0a-R,467.7333577473958,0,synthetic,21.430820168969376,21.430820168969376,21.430820168969376,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.31586010732784603,0.31586010732784603,0.0,ok,,,,,,,,0,nan,True,18,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,harsh,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,19,"hold-last, neutral 128 until the first success",True,480b2c70579bd438,0.0,B0a-R,764.6283365885416,0,synthetic,19.296299722385196,19.296299722385196,19.296299722385196,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.24498537254142846,0.24498537254142846,0.0,ok,,,,,,,,0,nan,True,19,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,20,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,43.682698567708336,0,synthetic,31.727709011148242,31.727709011148242,31.727709011148242,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.939488615800853,0.939488615800853,0.0,ok,,,,,,,,0,nan,True,20,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,21,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,43.6058349609375,0,synthetic,31.735357541272037,31.735357541272037,31.735357541272037,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9401029019386907,0.9401029019386907,0.0,ok,,,,,,,,0,nan,True,21,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,22,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,43.12823486328125,0,synthetic,31.78318677004914,31.78318677004914,31.78318677004914,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9402979270031441,0.9402979270031441,0.0,ok,,,,,,,,0,nan,True,22,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,23,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,44.157552083333336,0,synthetic,31.68075371014689,31.68075371014689,31.68075371014689,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.938897529755598,0.938897529755598,0.0,ok,,,,,,,,0,nan,True,23,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,24,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,42.13232421875,0,synthetic,31.884649433376488,31.884649433376488,31.884649433376488,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9405430916308625,0.9405430916308625,0.0,ok,,,,,,,,0,nan,True,24,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,25,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,41.919962565104164,0,synthetic,31.90659474720865,31.90659474720865,31.90659474720865,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.94170879056117,0.94170879056117,0.0,ok,,,,,,,,0,nan,True,25,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,26,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,42.315877278645836,0,synthetic,31.86577011915268,31.86577011915268,31.86577011915268,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9416225853821888,0.9416225853821888,0.0,ok,,,,,,,,0,nan,True,26,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,27,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,43.22222900390625,0,synthetic,31.77373200839549,31.77373200839549,31.77373200839549,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9412618392896892,0.9412618392896892,0.0,ok,,,,,,,,0,nan,True,27,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,28,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,41.933797200520836,0,synthetic,31.905161703325607,31.905161703325607,31.905161703325607,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9418126022107799,0.9418126022107799,0.0,ok,,,,,,,,0,nan,True,28,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,29,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,42.412638346354164,0,synthetic,31.855850715814277,31.855850715814277,31.855850715814277,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9418011535992311,0.9418011535992311,0.0,ok,,,,,,,,0,nan,True,29,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,30,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,41.113260904947914,0,synthetic,31.990984365842618,31.990984365842618,31.990984365842618,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9420778117439447,0.9420778117439447,0.0,ok,,,,,,,,0,nan,True,30,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,31,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,40.222880045572914,0,synthetic,32.086071970656825,32.086071970656825,32.086071970656825,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9430853314481379,0.9430853314481379,0.0,ok,,,,,,,,0,nan,True,31,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,32,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,41.735880533854164,0,synthetic,31.92570780290504,31.92570780290504,31.92570780290504,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.942638920793755,0.942638920793755,0.0,ok,,,,,,,,0,nan,True,32,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,33,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,42.24822998046875,0,synthetic,31.87271842276113,31.87271842276113,31.87271842276113,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9425036569713076,0.9425036569713076,0.0,ok,,,,,,,,0,nan,True,33,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,34,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,41.329854329427086,0,synthetic,31.96816486291198,31.96816486291198,31.96816486291198,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9423421326350553,0.9423421326350553,0.0,ok,,,,,,,,0,nan,True,34,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,35,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,41.119405110677086,0,synthetic,31.990335379307673,31.990335379307673,31.990335379307673,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9426801963016951,0.9426801963016951,0.0,ok,,,,,,,,0,nan,True,35,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
