accumulation_rows,admissible,availability,cell_key,coverage,fec_nsym,fill,max_age_frames,max_unit_payload,n_descriptions,n_scenes,placement,psnr_displayed,psnr_full,psnr_sd,reason,rs_k,study,window_accumulation_ms,window_rows
278,False,0.0,,,32,,,640,,,,,,,"жоден запланований момент не дав картинки (capacityx108): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",223,payload_x_fec,38.611,
278,False,0.0,,,64,,,640,,,,,,,"жоден запланований момент не дав картинки (capacityx108): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",191,payload_x_fec,38.611,
278,False,0.0,,,96,,,640,,,,,,,"жоден запланований момент не дав картинки (capacityx108): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",159,payload_x_fec,38.611,
278,False,0.0,,,128,,,640,,,,,,,"жоден запланований момент не дав картинки (capacityx108): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",127,payload_x_fec,38.611,
278,False,0.0,,,32,,,960,,,,,,,"жоден запланований момент не дав картинки (capacityx108): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",223,payload_x_fec,38.611,
278,False,0.0,,,64,,,960,,,,,,,"жоден запланований момент не дав картинки (capacityx108): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",191,payload_x_fec,38.611,
278,False,0.0,,,96,,,960,,,,,,,"жоден запланований момент не дав картинки (capacityx108): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",159,payload_x_fec,38.611,
278,False,0.0,,,128,,,960,,,,,,,"жоден запланований момент не дав картинки (capacityx108): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",127,payload_x_fec,38.611,
16,False,0.0,,,,,,,,,bawp,,,,не вміщується у спільний бюджет,,window,2.222,16
32,False,0.0,,,,,,,,,bawp,,,,не вміщується у спільний бюджет,,window,4.444,32
64,False,0.0,,,,,,,,,bawp,,,,не вміщується у спільний бюджет,,window,8.889,64
128,False,0.0,,,,,,,,,bawp,,,,"жоден запланований момент не дав картинки (capacityx108): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,window,17.778,128
278,True,1.0,"window|{""accumulation_rows"": 278, ""placement"": ""bawp"", ""window_accumulation_ms"": 38.611, ""window_rows"": 0}",0.7771990740740741,,,0.0,,,6,bawp,27.500532275576052,27.500532275576052,3.3634630288605405,,,window,38.611,0
278,True,1.0,"fill_policy|{""accumulation_rows"": 278, ""fill"": ""neutral"", ""window_accumulation_ms"": 38.611}",0.777199074074074,,neutral,0.0,,,6,,22.961431094835536,22.961431094835536,2.1904289702358923,,,fill_policy,38.611,
278,True,1.0,"fill_policy|{""accumulation_rows"": 278, ""fill"": ""interpolate"", ""window_accumulation_ms"": 38.611}",0.7771990740740741,,interpolate,0.0,,,6,,27.500532275576052,27.500532275576052,3.3634630288605405,,,fill_policy,38.611,
278,True,1.0,"fill_policy|{""accumulation_rows"": 278, ""fill"": ""previous"", ""window_accumulation_ms"": 38.611}",0.7789351851851851,,previous,0.8425925925925926,,,6,,26.70068286422833,26.70068286422833,3.4005638109990937,,,fill_policy,38.611,
