availability,burst_len_lines,burst_rate_per_frame,coverage,method,operable,psnr_full,scene
1.0,12,1.0,1.0,P,1.0,31.93482725529786,synthetic:horizon-v0
1.0,12,1.0,0.9652777777777778,P,0.8888888888888888,32.18663829177546,synthetic:horizon-v3
1.0,12,1.0,1.0,P,1.0,25.45845297911407,synthetic:road-v0
1.0,12,1.0,0.9722222222222222,P,0.8888888888888888,27.340859933592046,synthetic:road-v5
1.0,12,1.0,0.9861111111111112,P,0.9444444444444444,31.811826965994783,synthetic:targets-v0
1.0,12,1.0,0.9861111111111112,P,0.9444444444444444,31.23202626560216,synthetic:targets-v7
1.0,16,1.0,0.9722222222222222,B4,0.9444444444444444,33.41135611774609,synthetic:horizon-v0
1.0,16,1.0,1.0,B4,1.0,35.789760864019705,synthetic:horizon-v3
1.0,16,1.0,1.0,B4,1.0,29.240869845747593,synthetic:road-v0
1.0,16,1.0,1.0,B4,1.0,32.19281981642441,synthetic:road-v5
0.9444444444444444,16,1.0,0.9166666666666666,B4,0.8888888888888888,33.85224772921745,synthetic:targets-v0
1.0,16,1.0,0.9722222222222222,B4,0.9444444444444444,34.88162361770076,synthetic:targets-v7
1.0,16,1.0,0.9583333333333334,B4t,0.9444444444444444,31.189964706365103,synthetic:horizon-v0
1.0,16,1.0,1.0,B4t,1.0,33.337056475048364,synthetic:horizon-v3
1.0,16,1.0,1.0,B4t,1.0,27.793245151823506,synthetic:road-v0
1.0,16,1.0,1.0,B4t,1.0,30.53200082386742,synthetic:road-v5
0.9444444444444444,16,1.0,0.9027777777777778,B4t,0.8888888888888888,32.242298340089626,synthetic:targets-v0
1.0,16,1.0,0.9861111111111112,B4t,0.9444444444444444,33.027304474394725,synthetic:targets-v7
1.0,16,1.0,0.9652777777777778,P,0.8888888888888888,31.623361652868457,synthetic:horizon-v0
1.0,16,1.0,1.0,P,1.0,32.44442242452049,synthetic:horizon-v3
1.0,16,1.0,1.0,P,1.0,25.45845297911407,synthetic:road-v0
1.0,16,1.0,1.0,P,1.0,27.9271132845788,synthetic:road-v5
1.0,16,1.0,0.9375,P,0.8888888888888888,30.9846825231712,synthetic:targets-v0
1.0,16,1.0,0.9791666666666666,P,0.9444444444444444,31.209799568377605,synthetic:targets-v7
1.0,20,1.0,1.0,B4,1.0,34.67519273710227,synthetic:horizon-v0
1.0,20,1.0,1.0,B4,1.0,35.789760864019705,synthetic:horizon-v3
1.0,20,1.0,1.0,B4,1.0,29.240869845747593,synthetic:road-v0
1.0,20,1.0,0.9722222222222222,B4,0.9444444444444444,31.550777602408704,synthetic:road-v5
1.0,20,1.0,0.9722222222222222,B4,0.9444444444444444,34.96083196702685,synthetic:targets-v0
1.0,20,1.0,0.9722222222222222,B4,0.9444444444444444,34.66344601362905,synthetic:targets-v7
1.0,20,1.0,1.0,B4t,1.0,32.427984089747646,synthetic:horizon-v0
1.0,20,1.0,1.0,B4t,1.0,33.337056475048364,synthetic:horizon-v3
1.0,20,1.0,1.0,B4t,1.0,27.793245151823506,synthetic:road-v0
1.0,20,1.0,0.9861111111111112,B4t,0.9444444444444444,30.09098947015868,synthetic:road-v5
1.0,20,1.0,0.9861111111111112,B4t,0.9444444444444444,33.37325484502534,synthetic:targets-v0
1.0,20,1.0,0.9583333333333334,B4t,0.9444444444444444,32.64878328666285,synthetic:targets-v7
1.0,20,1.0,1.0,P,1.0,31.93482725529786,synthetic:horizon-v0
1.0,20,1.0,1.0,P,1.0,32.44442242452049,synthetic:horizon-v3
1.0,20,1.0,1.0,P,1.0,25.45845297911407,synthetic:road-v0
1.0,20,1.0,0.9722222222222222,P,0.9444444444444444,27.5209066570371,synthetic:road-v5
1.0,20,1.0,0.9791666666666666,P,0.9444444444444444,31.681492915571393,synthetic:targets-v0
1.0,20,1.0,0.9791666666666666,P,0.9444444444444444,30.94474985686083,synthetic:targets-v7
1.0,24,1.0,0.9166666666666666,B4,0.8333333333333334,32.21933882919036,synthetic:horizon-v0
1.0,24,1.0,1.0,B4,1.0,35.789760864019705,synthetic:horizon-v3
1.0,24,1.0,1.0,B4,1.0,29.240869845747593,synthetic:road-v0
1.0,24,1.0,1.0,B4,1.0,32.19281981642441,synthetic:road-v5
1.0,24,1.0,1.0,B4,1.0,35.64161233921867,synthetic:targets-v0
1.0,24,1.0,0.9722222222222222,B4,0.9444444444444444,34.989928184647496,synthetic:targets-v7
1.0,24,1.0,0.9027777777777778,B4t,0.8333333333333334,29.817463131725162,synthetic:horizon-v0
1.0,24,1.0,1.0,B4t,1.0,33.337056475048364,synthetic:horizon-v3
1.0,24,1.0,1.0,B4t,1.0,27.793245151823506,synthetic:road-v0
1.0,24,1.0,1.0,B4t,1.0,30.53200082386742,synthetic:road-v5
1.0,24,1.0,1.0,B4t,1.0,33.76142239352211,synthetic:targets-v0
1.0,24,1.0,0.9861111111111112,B4t,0.9444444444444444,33.066136535369225,synthetic:targets-v7
1.0,24,1.0,0.9375,P,0.8333333333333334,31.076149922350957,synthetic:horizon-v0
1.0,24,1.0,1.0,P,1.0,32.44442242452049,synthetic:horizon-v3
1.0,24,1.0,0.9861111111111112,P,0.9444444444444444,25.13362914056219,synthetic:road-v0
1.0,24,1.0,0.9861111111111112,P,0.9444444444444444,27.609915969825536,synthetic:road-v5
1.0,24,1.0,1.0,P,1.0,32.11843983018342,synthetic:targets-v0
1.0,24,1.0,0.9652777777777778,P,0.8888888888888888,30.854671292182065,synthetic:targets-v7
1.0,28,1.0,1.0,B4,1.0,34.67519273710227,synthetic:horizon-v0
1.0,28,1.0,0.9722222222222222,B4,0.9444444444444444,35.279477369397114,synthetic:horizon-v3
1.0,28,1.0,1.0,B4,1.0,29.240869845747593,synthetic:road-v0
1.0,28,1.0,1.0,B4,1.0,32.19281981642441,synthetic:road-v5
1.0,28,1.0,1.0,B4,1.0,35.64161233921867,synthetic:targets-v0
1.0,28,1.0,0.9722222222222222,B4,0.9444444444444444,34.692545726786356,synthetic:targets-v7
1.0,28,1.0,1.0,B4t,1.0,32.427984089747646,synthetic:horizon-v0
1.0,28,1.0,0.9861111111111112,B4t,0.9444444444444444,33.12057084530201,synthetic:horizon-v3
1.0,28,1.0,1.0,B4t,1.0,27.793245151823506,synthetic:road-v0
1.0,28,1.0,1.0,B4t,1.0,30.53200082386742,synthetic:road-v5
1.0,28,1.0,1.0,B4t,1.0,33.76142239352211,synthetic:targets-v0
1.0,28,1.0,0.9583333333333334,B4t,0.9444444444444444,32.69586001264577,synthetic:targets-v7
1.0,28,1.0,1.0,P,1.0,31.93482725529786,synthetic:horizon-v0
1.0,28,1.0,0.9791666666666666,P,0.9444444444444444,31.759882238540303,synthetic:horizon-v3
1.0,28,1.0,1.0,P,1.0,25.45845297911407,synthetic:road-v0
1.0,28,1.0,1.0,P,1.0,27.9271132845788,synthetic:road-v5
1.0,28,1.0,0.9861111111111112,P,0.9444444444444444,31.80172945125977,synthetic:targets-v0
1.0,28,1.0,0.9756944444444444,P,0.9444444444444444,30.97221627196686,synthetic:targets-v7
1.0,32,1.0,1.0,B4,1.0,34.67519273710227,synthetic:horizon-v0
1.0,32,1.0,0.9444444444444444,B4,0.8888888888888888,34.71145401014556,synthetic:horizon-v3
1.0,32,1.0,0.9722222222222222,B4,0.9444444444444444,28.565673932600873,synthetic:road-v0
1.0,32,1.0,1.0,B4,1.0,32.19281981642441,synthetic:road-v5
1.0,32,1.0,0.9444444444444444,B4,0.8888888888888888,34.146082955298404,synthetic:targets-v0
1.0,32,1.0,0.9722222222222222,B4,0.9444444444444444,34.97173229774905,synthetic:targets-v7
1.0,32,1.0,1.0,B4t,1.0,32.427984089747646,synthetic:horizon-v0
1.0,32,1.0,0.9722222222222222,B4t,0.8888888888888888,32.76545170278569,synthetic:horizon-v3
1.0,32,1.0,0.9583333333333334,B4t,0.9444444444444444,27.043082570021635,synthetic:road-v0
1.0,32,1.0,1.0,B4t,1.0,30.53200082386742,synthetic:road-v5
1.0,32,1.0,0.9583333333333334,B4t,0.9444444444444444,33.09132085715084,synthetic:targets-v0
1.0,32,1.0,1.0,B4t,1.0,33.48347674000502,synthetic:targets-v7
1.0,32,1.0,1.0,P,1.0,31.93482725529786,synthetic:horizon-v0
1.0,32,1.0,0.9583333333333334,P,0.8888888888888888,30.976821158122064,synthetic:horizon-v3
1.0,32,1.0,0.9791666666666666,P,0.9444444444444444,24.97941964455392,synthetic:road-v0
1.0,32,1.0,1.0,P,1.0,27.9271132845788,synthetic:road-v5
1.0,32,1.0,0.9791666666666666,P,0.9444444444444444,31.548395023376322,synthetic:targets-v0
1.0,32,1.0,0.9930555555555556,P,0.9444444444444444,31.569928813382564,synthetic:targets-v7
1.0,40,1.0,0.9583333333333334,B4,0.8888888888888888,32.82072391876563,synthetic:horizon-v0
1.0,40,1.0,0.9722222222222222,B4,0.9444444444444444,34.52237522820433,synthetic:horizon-v3
1.0,40,1.0,0.9444444444444444,B4,0.8888888888888888,27.838776979608795,synthetic:road-v0
1.0,40,1.0,0.9722222222222222,B4,0.9444444444444444,31.478753293474103,synthetic:road-v5
1.0,40,1.0,1.0,B4,1.0,35.64161233921867,synthetic:targets-v0
1.0,40,1.0,1.0,B4,1.0,35.590254533623614,synthetic:targets-v7
1.0,40,1.0,0.9583333333333334,B4t,0.9444444444444444,31.224722771410054,synthetic:horizon-v0
1.0,40,1.0,0.9583333333333334,B4t,0.9444444444444444,32.18226497422275,synthetic:horizon-v3
1.0,40,1.0,0.9166666666666666,B4t,0.8888888888888888,26.338902200624304,synthetic:road-v0
1.0,40,1.0,0.9583333333333334,B4t,0.9444444444444444,29.83685197937135,synthetic:road-v5
1.0,40,1.0,1.0,B4t,1.0,33.76142239352211,synthetic:targets-v0
1.0,40,1.0,1.0,B4t,1.0,33.48347674000502,synthetic:targets-v7
1.0,40,1.0,0.9791666666666666,P,0.9444444444444444,31.865883754734725,synthetic:horizon-v0
1.0,40,1.0,0.96875,P,0.8888888888888888,32.43707185536667,synthetic:horizon-v3
1.0,40,1.0,0.9444444444444444,P,0.8333333333333334,24.22044479151489,synthetic:road-v0
1.0,40,1.0,0.9583333333333334,P,0.8333333333333334,27.181717678444443,synthetic:road-v5
1.0,40,1.0,0.9722222222222222,P,0.8888888888888888,31.517419786160833,synthetic:targets-v0
1.0,40,1.0,0.9756944444444444,P,0.8888888888888888,31.255902600008685,synthetic:targets-v7
1.0,48,1.0,0.9583333333333334,B4,0.8888888888888888,33.12146249347686,synthetic:horizon-v0
1.0,48,1.0,1.0,B4,1.0,35.789760864019705,synthetic:horizon-v3
1.0,48,1.0,0.8888888888888888,B4,0.7777777777777778,26.496692662013785,synthetic:road-v0
1.0,48,1.0,0.9444444444444444,B4,0.8888888888888888,30.743782647524924,synthetic:road-v5
1.0,48,1.0,1.0,B4,1.0,35.64161233921867,synthetic:targets-v0
1.0,48,1.0,1.0,B4,1.0,35.590254533623614,synthetic:targets-v7
1.0,48,1.0,0.9583333333333334,B4t,0.9444444444444444,31.211217773241984,synthetic:horizon-v0
1.0,48,1.0,1.0,B4t,1.0,33.337056475048364,synthetic:horizon-v3
1.0,48,1.0,0.8680555555555556,B4t,0.7777777777777778,25.50729299043084,synthetic:road-v0
1.0,48,1.0,0.9861111111111112,B4t,0.9444444444444444,30.07390956262241,synthetic:road-v5
1.0,48,1.0,1.0,B4t,1.0,33.76142239352211,synthetic:targets-v0
1.0,48,1.0,1.0,B4t,1.0,33.48347674000502,synthetic:targets-v7
1.0,48,1.0,0.9652777777777778,P,0.8888888888888888,31.887298786088675,synthetic:horizon-v0
1.0,48,1.0,0.9861111111111112,P,0.9444444444444444,32.19226855992617,synthetic:horizon-v3
1.0,48,1.0,0.9201388888888888,P,0.7222222222222222,24.060424309975886,synthetic:road-v0
1.0,48,1.0,0.9722222222222222,P,0.8888888888888888,27.54794142349223,synthetic:road-v5
1.0,48,1.0,0.9930555555555556,P,0.9444444444444444,32.12366152503752,synthetic:targets-v0
1.0,48,1.0,1.0,P,1.0,31.566102600427357,synthetic:targets-v7
0.9444444444444444,64,1.0,0.8611111111111112,B4,0.7777777777777778,31.071623813909373,synthetic:horizon-v0
1.0,64,1.0,0.9722222222222222,B4,0.9444444444444444,34.95395439521181,synthetic:horizon-v3
1.0,64,1.0,0.9166666666666666,B4,0.8333333333333334,27.391283137367097,synthetic:road-v0
1.0,64,1.0,0.9444444444444444,B4,0.8888888888888888,30.813056575955695,synthetic:road-v5
1.0,64,1.0,0.9166666666666666,B4,0.8333333333333334,33.58359556970973,synthetic:targets-v0
1.0,64,1.0,0.9722222222222222,B4,0.9444444444444444,34.66344601362905,synthetic:targets-v7
1.0,64,1.0,0.9791666666666666,B4t,0.8333333333333334,32.163844853841084,synthetic:horizon-v0
1.0,64,1.0,1.0,B4t,1.0,33.337056475048364,synthetic:horizon-v3
1.0,64,1.0,0.9791666666666666,B4t,0.8888888888888888,27.163078463916932,synthetic:road-v0
1.0,64,1.0,0.9444444444444444,B4t,0.8888888888888888,29.36948209078825,synthetic:road-v5
1.0,64,1.0,0.9722222222222222,B4t,0.8888888888888888,33.02192646473705,synthetic:targets-v0
1.0,64,1.0,1.0,B4t,1.0,33.48347674000502,synthetic:targets-v7
1.0,64,1.0,0.8715277777777778,P,0.5,31.24829216781223,synthetic:horizon-v0
1.0,64,1.0,0.9791666666666666,P,0.8888888888888888,32.45395518122692,synthetic:horizon-v3
1.0,64,1.0,0.9444444444444444,P,0.7222222222222222,25.01748515703635,synthetic:road-v0
1.0,64,1.0,0.9409722222222222,P,0.8333333333333334,27.085877273479994,synthetic:road-v5
1.0,64,1.0,0.9305555555555556,P,0.7777777777777778,31.257792861146836,synthetic:targets-v0
1.0,64,1.0,0.9479166666666666,P,0.7777777777777778,31.591628300100986,synthetic:targets-v7
1.0,1,2.0,1.0,B4,1.0,34.67519273710227,synthetic:horizon-v0
1.0,1,2.0,1.0,B4,1.0,35.789760864019705,synthetic:horizon-v3
1.0,1,2.0,1.0,B4,1.0,29.240869845747593,synthetic:road-v0
1.0,1,2.0,1.0,B4,1.0,32.19281981642441,synthetic:road-v5
1.0,1,2.0,1.0,B4,1.0,35.64161233921867,synthetic:targets-v0
1.0,1,2.0,1.0,B4,1.0,35.590254533623614,synthetic:targets-v7
1.0,1,2.0,1.0,B4t,1.0,32.427984089747646,synthetic:horizon-v0
1.0,1,2.0,1.0,B4t,1.0,33.337056475048364,synthetic:horizon-v3
1.0,1,2.0,1.0,B4t,1.0,27.793245151823506,synthetic:road-v0
1.0,1,2.0,1.0,B4t,1.0,30.53200082386742,synthetic:road-v5
1.0,1,2.0,1.0,B4t,1.0,33.76142239352211,synthetic:targets-v0
1.0,1,2.0,1.0,B4t,1.0,33.48347674000502,synthetic:targets-v7
1.0,1,2.0,1.0,P,1.0,31.93482725529786,synthetic:horizon-v0
1.0,1,2.0,1.0,P,1.0,32.44442242452049,synthetic:horizon-v3
1.0,1,2.0,1.0,P,1.0,25.45845297911407,synthetic:road-v0
1.0,1,2.0,1.0,P,1.0,27.9271132845788,synthetic:road-v5
1.0,1,2.0,1.0,P,1.0,32.11843983018342,synthetic:targets-v0
1.0,1,2.0,1.0,P,1.0,31.566102600427357,synthetic:targets-v7
1.0,4,2.0,1.0,B4,1.0,34.67519273710227,synthetic:horizon-v0
1.0,4,2.0,1.0,B4,1.0,35.789760864019705,synthetic:horizon-v3
1.0,4,2.0,1.0,B4,1.0,29.240869845747593,synthetic:road-v0
1.0,4,2.0,1.0,B4,1.0,32.19281981642441,synthetic:road-v5
1.0,4,2.0,1.0,B4,1.0,35.64161233921867,synthetic:targets-v0
1.0,4,2.0,1.0,B4,1.0,35.590254533623614,synthetic:targets-v7
1.0,4,2.0,1.0,B4t,1.0,32.427984089747646,synthetic:horizon-v0
1.0,4,2.0,1.0,B4t,1.0,33.337056475048364,synthetic:horizon-v3
1.0,4,2.0,1.0,B4t,1.0,27.793245151823506,synthetic:road-v0
1.0,4,2.0,1.0,B4t,1.0,30.53200082386742,synthetic:road-v5
1.0,4,2.0,1.0,B4t,1.0,33.76142239352211,synthetic:targets-v0
1.0,4,2.0,1.0,B4t,1.0,33.48347674000502,synthetic:targets-v7
1.0,4,2.0,1.0,P,1.0,31.93482725529786,synthetic:horizon-v0
1.0,4,2.0,1.0,P,1.0,32.44442242452049,synthetic:horizon-v3
1.0,4,2.0,1.0,P,1.0,25.45845297911407,synthetic:road-v0
1.0,4,2.0,1.0,P,1.0,27.9271132845788,synthetic:road-v5
1.0,4,2.0,1.0,P,1.0,32.11843983018342,synthetic:targets-v0
1.0,4,2.0,1.0,P,1.0,31.566102600427357,synthetic:targets-v7
1.0,8,2.0,0.9722222222222222,B4,0.9444444444444444,33.43988186525804,synthetic:horizon-v0
1.0,8,2.0,1.0,B4,1.0,35.789760864019705,synthetic:horizon-v3
1.0,8,2.0,1.0,B4,1.0,29.240869845747593,synthetic:road-v0
1.0,8,2.0,0.9722222222222222,B4,0.9444444444444444,31.455919753225903,synthetic:road-v5
1.0,8,2.0,0.9444444444444444,B4,0.8888888888888888,34.15275212783642,synthetic:targets-v0
1.0,8,2.0,0.9722222222222222,B4,0.9444444444444444,34.88162361770076,synthetic:targets-v7
1.0,8,2.0,0.9861111111111112,B4t,0.9444444444444444,32.02191926606887,synthetic:horizon-v0
1.0,8,2.0,1.0,B4t,1.0,33.337056475048364,synthetic:horizon-v3
1.0,8,2.0,1.0,B4t,1.0,27.793245151823506,synthetic:road-v0
1.0,8,2.0,0.9861111111111112,B4t,0.9444444444444444,30.134799733309748,synthetic:road-v5
1.0,8,2.0,0.9444444444444444,B4t,0.8888888888888888,32.72163126349026,synthetic:targets-v0
1.0,8,2.0,0.9861111111111112,B4t,0.9444444444444444,33.02730447439473,synthetic:targets-v7
1.0,8,2.0,0.9791666666666666,P,0.9444444444444444,31.189955374223644,synthetic:horizon-v0
1.0,8,2.0,1.0,P,1.0,32.44442242452049,synthetic:horizon-v3
1.0,8,2.0,1.0,P,1.0,25.45845297911407,synthetic:road-v0
1.0,8,2.0,0.9791666666666666,P,0.9444444444444444,27.530917329786337,synthetic:road-v5
1.0,8,2.0,0.9583333333333334,P,0.8888888888888888,31.104940915631857,synthetic:targets-v0
1.0,8,2.0,0.9513888888888888,P,0.8333333333333334,30.559452730681976,synthetic:targets-v7
1.0,12,2.0,0.9722222222222222,B4,0.9444444444444444,33.51965738768249,synthetic:horizon-v0
1.0,12,2.0,0.9722222222222222,B4,0.9444444444444444,34.52237522820433,synthetic:horizon-v3
1.0,12,2.0,0.9166666666666666,B4,0.8333333333333334,27.311482024886402,synthetic:road-v0
1.0,12,2.0,0.9444444444444444,B4,0.8888888888888888,30.727623005179712,synthetic:road-v5
1.0,12,2.0,0.9444444444444444,B4,0.8888888888888888,34.28483661647905,synthetic:targets-v0
