availability,coverage,label,order,psnr_displayed,psnr_full,scene,step
0.875,0.5989583333333334,B4 (база),fwd,22.57029011156771,21.347235678301896,synthetic:clouds-v0,0
1.0,0.8125,B4 (база),fwd,26.97139489093563,26.97139489093563,synthetic:clouds-v4,0
0.8333333333333334,0.5677083333333334,B4 (база),fwd,15.236183657860261,14.952447975285486,synthetic:edges-v0,0
0.9166666666666666,0.6822916666666666,B4 (база),fwd,19.420547304164003,19.613450485705986,synthetic:edges-v9,0
0.9166666666666666,0.7552083333333334,B4 (база),fwd,17.002234189911864,16.989143801644698,synthetic:grid-v0,0
0.9166666666666666,0.6354166666666666,B4 (база),fwd,22.802896151947262,22.320439493883725,synthetic:horizon-v0,0
0.7916666666666666,0.671875,B4 (база),fwd,28.812273999471415,27.96947920715084,synthetic:horizon-v3,0
0.875,0.6302083333333334,B4 (база),fwd,17.893486641475434,17.178957561500557,synthetic:illumination-v0,0
0.8333333333333334,0.671875,B4 (база),fwd,30.662331752654385,27.792514950430217,synthetic:lowlight-v0,0
0.875,0.6770833333333334,B4 (база),fwd,31.207695408549796,29.095465242940417,synthetic:lowlight-v8,0
0.9583333333333334,0.6458333333333334,B4 (база),fwd,21.91494596300933,21.83381562630514,synthetic:road-v0,0
0.9583333333333334,0.6666666666666666,B4 (база),fwd,24.568924090820236,24.347443405095422,synthetic:road-v5,0
0.875,0.5729166666666666,B4 (база),fwd,25.040188851254992,24.333551880636605,synthetic:smooth-v0,0
0.8333333333333334,0.59375,B4 (база),fwd,27.518249650532727,26.340631056108677,synthetic:targets-v0,0
0.8333333333333334,0.5520833333333334,B4 (база),fwd,25.13522689928475,24.64753488308695,synthetic:targets-v7,0
1.0,0.5963541666666666,+ менша одиниця 640→320 Б,fwd,20.324369535122436,20.324369535122436,synthetic:clouds-v0,1
1.0,0.8203125,+ менша одиниця 640→320 Б,fwd,27.167365275036104,27.167365275036104,synthetic:clouds-v4,1
0.9166666666666666,0.5729166666666666,+ менша одиниця 640→320 Б,fwd,18.33056765185016,18.04687362117332,synthetic:edges-v0,1
0.9583333333333334,0.6666666666666666,+ менша одиниця 640→320 Б,fwd,20.552263434460176,20.666780487069474,synthetic:edges-v9,1
0.9166666666666666,0.8072916666666666,+ менша одиниця 640→320 Б,fwd,18.082568771452543,17.988566646252522,synthetic:grid-v0,1
0.9166666666666666,0.6979166666666666,+ менша одиниця 640→320 Б,fwd,27.196690878528766,26.276247664890686,synthetic:horizon-v0,1
