accumulation_rows,admissible,bits_per_symbol,burst_lines,burst_symbol_rows,claimed_bound_bytes,column_twist,correctable_erasures,correctable_errors,frac_positions_stripe_lost,frac_positions_uncorrectable,mean_damaged_bytes,n_burst_positions,n_descriptions,n_rs_blocks_per_unit,n_units_placed,reason,rs_k,rs_nsym,scheme,survives_as_errors,symbols_per_byte,worst_damaged_bytes,worst_damaged_symbols,worst_unit
16,True,2,24,13,-1,1,128,64,0.0,1.0,50.5,266,4,5,6,,127,128,block-16,False,4,304,988,0
16,True,2,32,17,-1,1,128,64,0.0,1.0,63.16,262,4,5,6,,127,128,block-16,False,4,380,1292,0
16,True,2,48,25,-1,1,128,64,0.0,1.0,88.49,254,4,5,6,,127,128,block-16,False,4,532,1900,0
16,True,2,64,33,-1,1,128,64,0.0,1.0,113.82,246,4,5,6,,127,128,block-16,False,4,674,2498,0
64,True,2,1,1,-1,1,128,64,0.0,0.0,12.55,278,1,5,6,,127,128,block-64,True,4,67,67,5
64,True,2,2,2,-1,1,128,64,0.0,0.0,15.67,277,1,5,6,,127,128,block-64,True,4,110,134,0
64,True,2,4,3,-1,1,128,64,0.0,0.0,18.82,276,1,5,6,,127,128,block-64,True,4,110,201,0
64,True,2,8,5,-1,1,128,64,0.0657,0.0657,25.15,274,1,5,6,,127,128,block-64,False,4,134,335,5
64,True,2,16,9,-1,1,128,64,0.0667,0.0667,37.78,270,1,5,6,,127,128,block-64,False,4,201,603,5
64,True,2,24,13,-1,1,128,64,0.5639,0.5639,50.43,266,1,5,6,,127,128,block-64,False,4,268,871,5
64,True,2,32,17,-1,1,128,64,0.855,0.855,63.1,262,1,5,6,,127,128,block-64,False,4,335,1139,5
64,True,2,48,25,-1,1,128,64,0.9528,0.9528,88.41,254,1,5,6,,127,128,block-64,False,4,432,1568,5
64,True,2,64,33,-1,1,128,64,1.0,1.0,113.74,246,1,5,6,,127,128,block-64,False,4,496,1824,5
64,True,2,1,1,-1,1,128,64,0.0,0.0,12.55,278,2,5,6,,127,128,block-64,True,4,67,67,5
64,True,2,2,2,-1,1,128,64,0.0,0.0,15.67,277,2,5,6,,127,128,block-64,True,4,110,134,0
64,True,2,4,3,-1,1,128,64,0.0,0.0,18.82,276,2,5,6,,127,128,block-64,True,4,110,201,0
64,True,2,8,5,-1,1,128,64,0.0,0.0657,25.15,274,2,5,6,,127,128,block-64,False,4,134,335,5
64,True,2,16,9,-1,1,128,64,0.0,0.0667,37.78,270,2,5,6,,127,128,block-64,False,4,201,603,5
64,True,2,24,13,-1,1,128,64,0.0,0.5639,50.43,266,2,5,6,,127,128,block-64,False,4,268,871,5
64,True,2,32,17,-1,1,128,64,0.3664,0.855,63.1,262,2,5,6,,127,128,block-64,False,4,335,1139,5
64,True,2,48,25,-1,1,128,64,0.5984,0.9528,88.41,254,2,5,6,,127,128,block-64,False,4,432,1568,5
64,True,2,64,33,-1,1,128,64,0.6992,1.0,113.74,246,2,5,6,,127,128,block-64,False,4,496,1824,5
64,True,2,1,1,-1,1,128,64,0.0,0.0,12.55,278,4,5,6,,127,128,block-64,True,4,67,67,5
64,True,2,2,2,-1,1,128,64,0.0,0.0,15.67,277,4,5,6,,127,128,block-64,True,4,110,134,0
64,True,2,4,3,-1,1,128,64,0.0,0.0,18.82,276,4,5,6,,127,128,block-64,True,4,110,201,0
64,True,2,8,5,-1,1,128,64,0.0,0.0657,25.15,274,4,5,6,,127,128,block-64,False,4,134,335,5
64,True,2,16,9,-1,1,128,64,0.0,0.0667,37.78,270,4,5,6,,127,128,block-64,False,4,201,603,5
64,True,2,24,13,-1,1,128,64,0.0,0.5639,50.43,266,4,5,6,,127,128,block-64,False,4,268,871,5
64,True,2,32,17,-1,1,128,64,0.0,0.855,63.1,262,4,5,6,,127,128,block-64,False,4,335,1139,5
64,True,2,48,25,-1,1,128,64,0.0,0.9528,88.41,254,4,5,6,,127,128,block-64,False,4,432,1568,5
64,True,2,64,33,-1,1,128,64,0.0,1.0,113.74,246,4,5,6,,127,128,block-64,False,4,496,1824,5
278,True,2,1,1,-1,1,128,64,0.0,0.0,12.55,278,1,5,6,,127,128,block-278,True,4,13,13,0
278,True,2,2,2,-1,1,128,64,0.0,0.0,15.67,277,1,5,6,,127,128,block-278,True,4,20,26,0
278,True,2,4,3,-1,1,128,64,0.0,0.0,18.82,276,1,5,6,,127,128,block-278,True,4,20,39,0
278,True,2,8,5,-1,1,128,64,0.0,0.0,25.09,274,1,5,6,,127,128,block-278,True,4,26,65,0
278,True,2,16,9,-1,1,128,64,0.0,0.0,37.64,270,1,5,6,,127,128,block-278,True,4,39,117,0
278,True,2,24,13,-1,1,128,64,0.0,0.0,50.18,266,1,5,6,,127,128,block-278,True,4,52,169,0
278,True,2,32,17,-1,1,128,64,0.0,0.0,62.72,262,1,5,6,,127,128,block-278,True,4,65,221,0
278,True,2,48,25,-1,1,128,64,0.0,0.0,87.8,254,1,5,6,,127,128,block-278,True,4,91,325,0
278,True,2,64,33,-1,1,128,64,0.0,0.0,112.88,246,1,5,6,,127,128,block-278,True,4,117,429,0
278,True,2,1,1,-1,1,128,64,0.0,0.0,12.55,278,2,5,6,,127,128,block-278,True,4,13,13,0
