admissible,availability,bits_per_frame,codec,n_descriptions,n_frames,n_scheduled_instants,psnr_full,quality,reason,ssim_full,stripe_height,units_per_frame,wire_bytes_per_frame
True,1.0,17749.5,dct,2,32,32,30.500255919434085,12,,0.8628032616439001,48,8.0,10304.0
True,0.875,19298.85714285714,dct,2,28,32,32.96920909860676,18,,0.896338423733034,48,8.214285714285714,11040.0
True,0.75,21235.666666666668,dct,2,24,32,35.5502065084579,25,,0.9162925503032845,48,8.0,10304.0
True,0.75,26162.666666666668,dct,2,24,32,37.057276826840486,35,,0.9338283175244447,48,8.333333333333334,11162.666666666666
True,0.59375,28208.0,dct,2,19,32,38.14593278735382,50,,0.9440848908557498,48,8.631578947368421,11117.473684210527
True,0.40625,34471.38461538462,dct,2,13,32,40.85523729764601,70,,0.9649882165034646,48,9.76923076923077,13474.461538461539
False,0.0,,dct,4,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,4,,32,,12,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,4,,32,,18,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,4,,32,,25,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,4,,32,,35,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,4,,32,,50,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,4,,32,,70,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,4,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,4,,32,,12,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,4,,32,,18,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,4,,32,,25,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,4,,32,,35,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,4,,32,,50,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,4,,32,,70,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,4,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,dct,4,,32,,12,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
