channel,channel_axis,channel_value,clip,clip_hash,config_id,detail,job_id,method,n_frames,n_frames_done,profile_id,repetition,scene,status,trace_id,wall_s
moderate,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",09ac874478514d3d,B0d,16,16,7fe30b1136,4,synthetic:grid-v6,capacity,moderate|clip_grid_fast_v6|moderate|rep4|seed20240909,0.2075
moderate,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",5a7c4568df36ea96,B0d,16,16,7fe30b1136,3,synthetic:grid-v6,capacity,moderate|clip_grid_fast_v6|moderate|rep3|seed20240909,0.2437
bursty,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",7a9bd8baf5064fef,B0d,16,16,7fe30b1136,2,synthetic:grid-v6,capacity,bursty|clip_grid_fast_v6|bursty|rep2|seed20240909,0.1699
bursty,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",a5b862669fe2e402,B0d,16,16,7fe30b1136,0,synthetic:grid-v6,capacity,bursty|clip_grid_fast_v6|bursty|rep0|seed20240909,0.231
bursty,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",392c07bdbe2b1e35,B0d,16,16,7fe30b1136,1,synthetic:grid-v6,capacity,bursty|clip_grid_fast_v6|bursty|rep1|seed20240909,0.242
bursty,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",bf61e41056c14d80,B0d,16,16,7fe30b1136,3,synthetic:grid-v6,capacity,bursty|clip_grid_fast_v6|bursty|rep3|seed20240909,0.2262
harsh,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",41f72a78f1c7b21c,B0d,16,16,7fe30b1136,2,synthetic:grid-v6,capacity,harsh|clip_grid_fast_v6|harsh|rep2|seed20240909,0.2017
bursty,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",3726b0a907c83406,B0d,16,16,7fe30b1136,4,synthetic:grid-v6,capacity,bursty|clip_grid_fast_v6|bursty|rep4|seed20240909,0.2496
harsh,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",9143b8bd113c7279,B0d,16,16,7fe30b1136,0,synthetic:grid-v6,capacity,harsh|clip_grid_fast_v6|harsh|rep0|seed20240909,0.2449
harsh,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",f38172581a5fb2df,B0d,16,16,7fe30b1136,1,synthetic:grid-v6,capacity,harsh|clip_grid_fast_v6|harsh|rep1|seed20240909,0.2404
