calls,max_ms,mean_ms,median_ms,n_samples,p95_ms,p99_ms,resolution,stage,total_s,warmup_discarded
18,1.4479999990726355,1.0238388889168466,1.0289000001648674,18,1.263465000920405,1.411092999442189,128x96,tx.source_coding,0.01842910000050324,1
120,3.8301999993564095,2.482152499790876,2.5080000013986137,120,3.6085750007259776,3.748324001207948,128x96,tx.crypto,0.2978582999749051,1
120,0.14829999781795777,0.07697083325789815,0.0743000018701423,120,0.10957499998767162,0.13317799734068106,128x96,tx.modulation,0.009236499990947777,1
24,2.07109999973909,1.5725541663111169,1.5247500014083926,24,1.987515000109851,2.067810999797075,128x96,tx.raster,0.037741299991466803,1
24,18.906799999967916,17.65803333319127,17.48234999831766,24,18.768325001656194,18.87696900041192,128x96,rx.demodulation,0.4237927999965905,1
108,0.13100000069243833,0.0596898145751631,0.05544999839912634,108,0.08689999958733097,0.09531699837680203,128x96,rx.deinterleave,0.006446499974117614,1
108,4.111199999897508,1.7930435184030944,1.5333499995904276,108,2.756240001326659,3.072475002809368,128x96,rx.fec_header,0.1936486999875342,1
105,33.19059999921592,15.019083809567661,16.410199998063035,105,26.285379999899305,32.53945199874578,128x96,rx.fec_payload,1.5770038000046043,1
88,0.057100001868093386,0.02070909100769892,0.020300001779105514,88,0.024530001246603202,0.043005998995795304,128x96,rx.aead,0.001822400008677505,1
72,0.3224000029149465,0.22685694431048534,0.22400000125344377,72,0.26579999903333373,0.3216900000916212,128x96,rx.source_decoding,0.016333699990354944,1
6,0.6446999977924861,0.34748333200695924,0.2737499980867142,6,0.6096749984862981,0.6376949979312485,128x96,B0d.assembly,0.0020848999920417555,1
6,0.7148000004235655,0.6966666666509506,0.7007499989413191,6,0.7145500003389316,0.7147500004066387,128x96,B3.source_coding,0.004179999999905704,1
6,0.02979999771923758,0.027249999523822527,0.028399999791872688,6,0.02959999801532831,0.029759997778455727,128x96,B3.crypto,0.00016349999714293517,1
6,17.72479999999632,17.441849999158876,17.440199999327888,6,17.713049999656505,17.722449999928358,128x96,B3.demodulation,0.10465109999495326,1
6,0.19799999790848233,0.12503333346103318,0.12229999992996454,6,0.18672499845706625,0.1957449980181991,128x96,B3.assembly,0.0007502000007661991,1
3,0.02170000152545981,0.016600000283991296,0.018599999748403206,3,0.02139000134775415,0.02163800148991868,128x96,B3.aead,4.980000085197389e-05,1
6,0.5502999993041158,0.2259666659180463,0.17645000116317533,6,0.47907499902066775,0.5360549992474263,128x96,B4.assembly,0.0013557999955082778,1
6,0.5538000004889909,0.35495000035249785,0.3012999986822251,6,0.5318500006978866,0.54941000053077,128x96,P.assembly,0.002129700002114987,1
18,3.6156000023765955,2.7750833335934053,2.692449999813107,18,3.2480599991686168,3.542092001734999,256x192,tx.source_coding,0.04995150000468129,1
204,4.8284000004059635,2.4606745097366467,2.516049999030656,204,3.603254999143246,3.732301999480114,256x192,tx.crypto,0.5019775999862759,1
204,0.1464000015403144,0.07613186288853838,0.07294999886653386,204,0.10954999906971352,0.1441069992870325,256x192,tx.modulation,0.01553090002926183,1
42,2.1433000001707114,1.5769142853622768,1.5313000003516208,42,1.8245849987579275,2.094263999679242,256x192,tx.raster,0.06623039998521563,1
42,25.156499999866355,18.007638095046527,17.68629999969562,42,19.037610000486893,24.377910000293916,256x192,rx.demodulation,0.7563207999919541,1
176,0.10130000009667128,0.05665056817799102,0.054200001613935456,176,0.08772499859333038,0.09829999908106402,256x192,rx.deinterleave,0.009970499999326421,1
176,3.104499999608379,1.7563102273098512,1.5157500001805602,176,2.7024750006603426,2.8567749996000202,256x192,rx.fec_header,0.3091106000065338,1
175,35.188099998777034,16.162718856940046,17.268399999011308,175,27.289079998808994,34.09700799878919,256x192,rx.fec_payload,2.828475799964508,1
150,0.03190000279573724,0.020151999900311544,0.020399998902576044,150,0.022955000167712566,0.027400001272326335,256x192,rx.aead,0.0030227999850467313,1
138,0.4248000004736241,0.2667811593552039,0.2578000003268244,138,0.32736000011936994,0.3950830009489436,256x192,rx.source_decoding,0.03681579999101814,1
6,1.7255000020668376,1.048833333697985,1.0172500005865004,6,1.7000500020003528,1.7204100020535407,256x192,B0d.assembly,0.0062930000021879096,1
6,2.206600001954939,2.099616667085987,2.093400002195267,6,2.1844000011697062,2.2021600017978926,256x192,B3.source_coding,0.012597700002515921,1
6,0.08090000119409524,0.037833332195684,0.03024999750778079,6,0.06885000038892031,0.07849000103306027,256x192,B3.crypto,0.00022699999317410402,1
6,18.00310000180616,17.599916667677462,17.57865000035963,6,17.982350001148006,17.99895000167453,256x192,B3.demodulation,0.10559950000606477,1
6,0.4351999996288214,0.2896833332973377,0.2851999997801613,6,0.4269249993740232,0.43354499957786174,256x192,B3.assembly,0.0017380999997840263,1
3,0.020600000425474718,0.015833333842844393,0.01809999957913533,3,0.02035000034084078,0.02055000040854793,256x192,B3.aead,4.7500001528533176e-05,1
6,1.5669999993406236,0.6173333325326288,0.49759999819798395,6,1.3710749999518157,1.5278149994628623,256x192,B4.assembly,0.0037039999951957725,1
6,2.211799997894559,1.1186666658128768,0.7720999983575894,6,2.093399998557288,2.188119998027105,256x192,P.assembly,0.00671199999487726,1
14,4.128500000661006,3.780628571933318,3.7118000000191387,14,4.120570001759916,4.126914000880788,320x240,tx.source_coding,0.05292880000706646,1
144,5.032700002630008,2.331661805328622,2.7716499989764998,144,3.7086949978402117,3.9585360019555065,320x240,tx.crypto,0.33575929996732157,1
144,0.1818999990064185,0.08100000008602769,0.07340000047406647,144,0.11362000095687107,0.12472099919250465,320x240,tx.modulation,0.011664000012387987,1
36,2.6821000028576236,1.5726027777418494,1.5232999994623242,36,1.7414750018360792,2.38971000217134,320x240,tx.raster,0.05661369999870658,1
36,19.802300001174444,17.74443888845983,17.608749998544226,36,19.253350000326463,19.692434999888064,320x240,rx.demodulation,0.6387997999845538,1
128,0.10620000102790073,0.0648296876306631,0.05899999996472616,128,0.09614999980840366,0.10393000025942456,320x240,rx.deinterleave,0.008298200016724877,1
128,3.022899996722117,1.7323234374373442,1.5325000003940659,128,2.610534999803349,2.696163000400702,320x240,rx.fec_header,0.22173739999198006,1
127,34.36440000223229,14.635638582414083,16.525600000022678,127,22.936719999779598,24.543112001847472,320x240,rx.fec_payload,1.8587260999665887,1
110,0.05279999822960235,0.019558182049712,0.01925000105984509,110,0.02321000210940838,0.025446001272939608,320x240,rx.aead,0.0021514000254683197,1
86,0.543999998626532,0.31946162807587314,0.31135000062931795,86,0.37037500078440644,0.4890050004178196,320x240,rx.source_decoding,0.027473700014525093,1
6,2.6075999994645827,1.6692333338141907,1.6580500014242716,6,2.598049999505747,2.6056899994728155,320x240,B0d.assembly,0.010015400002885144,1
6,3.42599999930826,3.0859666664279453,3.007800001796568,6,3.3527999994475977,3.4113599993361277,320x240,B3.source_coding,0.018515799998567672,1
6,0.04450000051292591,0.03508333369002988,0.03319999996165279,6,0.04290000106266234,0.044180000622873195,320x240,B3.crypto,0.00021050000214017928,1
6,17.753100000845734,17.369649999939913,17.399299998942297,6,17.6882250007111,17.740125000818807,320x240,B3.demodulation,0.10421789999963949,1
6,0.6453999994846527,0.4123166666734808,0.3911000003427034,6,0.6373999995048507,0.6437999994886923,320x240,B3.assembly,0.002473900000040885,1
3,0.019499999325489625,0.015966665766124304,0.019499999325489625,3,0.019499999325489625,0.019499999325489625,320x240,B3.aead,4.789999729837291e-05,1
