burst_lines,column_twist,descriptions_in_one_stripe,descriptions_lost_in_one_stripe,fraction,n_burst_positions,n_descriptions,outcome,scheme,stripe_lost
64,1,1,-1,1.0,246,1,touched,block-16,False
64,1,1,1,1.0,246,1,lost,block-16,True
1,1,1,-1,0.8273,230,2,touched,block-16,False
1,1,2,-1,0.1727,48,2,touched,block-16,False
1,1,0,0,0.7698,214,2,lost,block-16,False
1,1,1,1,0.2302,64,2,lost,block-16,False
2,1,1,-1,0.8159,226,2,touched,block-16,False
2,1,2,-1,0.1841,51,2,touched,block-16,False
2,1,0,0,0.5884,163,2,lost,block-16,False
2,1,1,1,0.4007,111,2,lost,block-16,False
2,1,2,2,0.0108,3,2,lost,block-16,True
4,1,1,-1,0.8043,222,2,touched,block-16,False
4,1,2,-1,0.1957,54,2,touched,block-16,False
4,1,0,0,0.4058,112,2,lost,block-16,False
4,1,1,1,0.5725,158,2,lost,block-16,False
4,1,2,2,0.0217,6,2,lost,block-16,True
8,1,1,-1,0.781,214,2,touched,block-16,False
8,1,2,-1,0.219,60,2,touched,block-16,False
8,1,0,0,0.0365,10,2,lost,block-16,False
8,1,1,1,0.9197,252,2,lost,block-16,False
8,1,2,2,0.0438,12,2,lost,block-16,True
16,1,1,-1,0.7333,198,2,touched,block-16,False
16,1,2,-1,0.2667,72,2,touched,block-16,False
16,1,1,1,0.8222,222,2,lost,block-16,False
16,1,2,2,0.1778,48,2,lost,block-16,True
24,1,1,-1,0.6842,182,2,touched,block-16,False
24,1,2,-1,0.3158,84,2,touched,block-16,False
24,1,1,1,0.7744,206,2,lost,block-16,False
24,1,2,2,0.2256,60,2,lost,block-16,True
32,1,1,-1,0.6336,166,2,touched,block-16,False
32,1,2,-1,0.3664,96,2,touched,block-16,False
32,1,1,1,0.7252,190,2,lost,block-16,False
32,1,2,2,0.2748,72,2,lost,block-16,True
48,1,1,-1,0.5276,134,2,touched,block-16,False
48,1,2,-1,0.4724,120,2,touched,block-16,False
48,1,1,1,0.622,158,2,lost,block-16,False
48,1,2,2,0.378,96,2,lost,block-16,True
64,1,1,-1,0.4146,102,2,touched,block-16,False
64,1,2,-1,0.5854,144,2,touched,block-16,False
64,1,1,1,0.5122,126,2,lost,block-16,False
64,1,2,2,0.4878,120,2,lost,block-16,True
1,1,1,-1,0.7698,214,4,touched,block-16,False
1,1,2,-1,0.2302,64,4,touched,block-16,False
1,1,0,0,0.7698,214,4,lost,block-16,False
1,1,1,1,0.2302,64,4,lost,block-16,False
2,1,1,-1,0.7545,209,4,touched,block-16,False
2,1,2,-1,0.2455,68,4,touched,block-16,False
2,1,0,0,0.5884,163,4,lost,block-16,False
2,1,1,1,0.3899,108,4,lost,block-16,False
2,1,2,2,0.0217,6,4,lost,block-16,False
4,1,1,-1,0.7391,204,4,touched,block-16,False
4,1,2,-1,0.2609,72,4,touched,block-16,False
4,1,0,0,0.4058,112,4,lost,block-16,False
