channel,channel_axis,channel_value,clip,corrected_symbols,coverage,estimated_fraction,frame_id,job_id,max_age_frames,method,payload_bytes,provenance,psnr_full,psnr_verified,rasters,repetition,resynchronised,scene,ssim_full,ssim_verified,stale_fraction,status_auth_failed,status_filler,status_fragment_recovered,status_frame_verified,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_raster_dropped,status_verified,symbol_error_denominator,symbol_errors_pre_fec,sync_found,trace_id,units_rejected,units_sent,units_verified,wire_bytes,x_authenticated,x_channel_trace,x_combine,x_coverage_meaning,x_est_dx,x_est_dy,x_filler_units,x_fragments,x_fragments_recovered,x_frame_verified,x_rasters_delivered,x_repetitions_received,x_repetitions_sent,x_segments,x_sync_score,x_units_from_other_frames,x_units_per_raster
clean,,nan,clip_horizon_slow_v0,0,1.0,0.0,14,8ec870ca4538f619,0.0,B0a,0,synthetic,53.25012321157109,53.25012321157109,1,4,False,synthetic:horizon-v0,0.9973344753164838,0.9973344753164838,0.0,,,,,,,,,,,0,nan,True,clean|clip_horizon_slow_v0|clean|rep4|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,1,5d9ccf421b84e23f,0.0,B0a,0,synthetic,31.320674402132134,31.320674402132134,1,0,False,synthetic:horizon-v0,0.8995443743056709,0.8995443743056709,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9529443918925279,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,4,5d9ccf421b84e23f,0.0,B0a,0,synthetic,31.248395719995216,31.248395719995216,1,0,False,synthetic:horizon-v0,0.8985577729779873,0.8985577729779873,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9636735514281389,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,7,5d9ccf421b84e23f,0.0,B0a,0,synthetic,31.506168976130994,31.506168976130994,1,0,False,synthetic:horizon-v0,0.9001104853443973,0.9001104853443973,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.982283424998105,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,10,5d9ccf421b84e23f,0.0,B0a,0,synthetic,31.536420564969116,31.536420564969116,1,0,False,synthetic:horizon-v0,0.9006666426024217,0.9006666426024217,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9666866806102608,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,13,5d9ccf421b84e23f,0.0,B0a,0,synthetic,31.234024726473333,31.234024726473333,1,0,False,synthetic:horizon-v0,0.9009677853995629,0.9009677853995629,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.971821324755792,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,0,8a2d3be3cbc95c3e,0.0,B0a,0,synthetic,31.50877614820491,31.50877614820491,1,1,False,synthetic:horizon-v0,0.9008320180364106,0.9008320180364106,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9918876552118806,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,3,8a2d3be3cbc95c3e,0.0,B0a,0,synthetic,31.445380834548185,31.445380834548185,1,1,False,synthetic:horizon-v0,0.9001056266785082,0.9001056266785082,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9546180598250171,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,6,8a2d3be3cbc95c3e,0.0,B0a,0,synthetic,31.420186479717014,31.420186479717014,1,1,False,synthetic:horizon-v0,0.8996186584136202,0.8996186584136202,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9639332858264599,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,9,8a2d3be3cbc95c3e,0.0,B0a,0,synthetic,31.28958672366378,31.28958672366378,1,1,False,synthetic:horizon-v0,0.8992066083064608,0.8992066083064608,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9606391572528846,,
