burst_len_lines,channel,coverage,gain,grid,method,n_scenes,noise_sigma,offset,psnr_full,psnr_full_sd
32,mild[noise_sigmaxburst_len_lines=22],1.0,,noise_x_burst,P,6,12,,30.252280210321263,2.879750082925159
48,mild[noise_sigmaxburst_len_lines=23],1.0,,noise_x_burst,B0a-R,6,12,,28.566432976704647,1.0771054717202004
48,mild[noise_sigmaxburst_len_lines=23],1.0,,noise_x_burst,B4,6,12,,33.8518308336543,2.6701546587709486
48,mild[noise_sigmaxburst_len_lines=23],1.0,,noise_x_burst,P,6,12,,30.252280210321263,2.879750082925159
1,mild[noise_sigmaxburst_len_lines=24],1.0,,noise_x_burst,B0a-R,6,16,,27.206870023771092,0.680506611998822
1,mild[noise_sigmaxburst_len_lines=24],1.0,,noise_x_burst,B4,6,16,,33.8518308336543,2.6701546587709486
1,mild[noise_sigmaxburst_len_lines=24],1.0,,noise_x_burst,P,6,16,,30.252280210321263,2.879750082925159
4,mild[noise_sigmaxburst_len_lines=25],1.0,,noise_x_burst,B0a-R,6,16,,27.199354271342447,0.6838327987104493
4,mild[noise_sigmaxburst_len_lines=25],1.0,,noise_x_burst,B4,6,16,,33.8518308336543,2.6701546587709486
4,mild[noise_sigmaxburst_len_lines=25],1.0,,noise_x_burst,P,6,16,,30.252280210321263,2.879750082925159
8,mild[noise_sigmaxburst_len_lines=26],1.0,,noise_x_burst,B0a-R,6,16,,27.186929823652566,0.7036541669555374
8,mild[noise_sigmaxburst_len_lines=26],1.0,,noise_x_burst,B4,6,16,,33.8518308336543,2.6701546587709486
8,mild[noise_sigmaxburst_len_lines=26],1.0,,noise_x_burst,P,6,16,,30.252280210321263,2.879750082925159
16,mild[noise_sigmaxburst_len_lines=27],1.0,,noise_x_burst,B0a-R,6,16,,27.198493169488497,0.6802252558014523
16,mild[noise_sigmaxburst_len_lines=27],1.0,,noise_x_burst,B4,6,16,,33.8518308336543,2.6701546587709486
16,mild[noise_sigmaxburst_len_lines=27],1.0,,noise_x_burst,P,6,16,,30.252280210321263,2.879750082925159
32,mild[noise_sigmaxburst_len_lines=28],1.0,,noise_x_burst,B0a-R,6,16,,27.209956524441264,0.6782980529589678
32,mild[noise_sigmaxburst_len_lines=28],1.0,,noise_x_burst,B4,6,16,,33.8518308336543,2.6701546587709486
32,mild[noise_sigmaxburst_len_lines=28],1.0,,noise_x_burst,P,6,16,,30.252280210321263,2.879750082925159
48,mild[noise_sigmaxburst_len_lines=29],1.0,,noise_x_burst,B0a-R,6,16,,27.20216523772319,0.6895878376121707
48,mild[noise_sigmaxburst_len_lines=29],1.0,,noise_x_burst,B4,6,16,,33.8518308336543,2.6701546587709486
48,mild[noise_sigmaxburst_len_lines=29],1.0,,noise_x_burst,P,6,16,,30.252280210321263,2.879750082925159
8,mild[noise_sigmaxburst_len_lines=2],1.0,,noise_x_burst,B0a-R,6,0,,31.588439052466672,2.2077901438387797
8,mild[noise_sigmaxburst_len_lines=2],1.0,,noise_x_burst,B4,6,0,,33.8518308336543,2.6701546587709486
8,mild[noise_sigmaxburst_len_lines=2],1.0,,noise_x_burst,P,6,0,,30.252280210321263,2.879750082925159
16,mild[noise_sigmaxburst_len_lines=3],1.0,,noise_x_burst,B0a-R,6,0,,31.62138524381378,2.1648761958219573
16,mild[noise_sigmaxburst_len_lines=3],1.0,,noise_x_burst,B4,6,0,,33.8518308336543,2.6701546587709486
16,mild[noise_sigmaxburst_len_lines=3],1.0,,noise_x_burst,P,6,0,,30.252280210321263,2.879750082925159
32,mild[noise_sigmaxburst_len_lines=4],1.0,,noise_x_burst,B0a-R,6,0,,31.600756324729247,2.2078818168852763
32,mild[noise_sigmaxburst_len_lines=4],1.0,,noise_x_burst,B4,6,0,,33.8518308336543,2.6701546587709486
32,mild[noise_sigmaxburst_len_lines=4],1.0,,noise_x_burst,P,6,0,,30.252280210321263,2.879750082925159
48,mild[noise_sigmaxburst_len_lines=5],1.0,,noise_x_burst,B0a-R,6,0,,31.606798851791112,2.1904329158529467
48,mild[noise_sigmaxburst_len_lines=5],1.0,,noise_x_burst,B4,6,0,,33.8518308336543,2.6701546587709486
48,mild[noise_sigmaxburst_len_lines=5],1.0,,noise_x_burst,P,6,0,,30.252280210321263,2.879750082925159
1,mild[noise_sigmaxburst_len_lines=6],1.0,,noise_x_burst,B0a-R,6,4,,31.257970253562505,1.9940470381014646
1,mild[noise_sigmaxburst_len_lines=6],1.0,,noise_x_burst,B4,6,4,,33.8518308336543,2.6701546587709486
1,mild[noise_sigmaxburst_len_lines=6],1.0,,noise_x_burst,P,6,4,,30.252280210321263,2.879750082925159
4,mild[noise_sigmaxburst_len_lines=7],1.0,,noise_x_burst,B0a-R,6,4,,31.28211729685864,1.9869321146098915
4,mild[noise_sigmaxburst_len_lines=7],1.0,,noise_x_burst,B4,6,4,,33.8518308336543,2.6701546587709486
4,mild[noise_sigmaxburst_len_lines=7],1.0,,noise_x_burst,P,6,4,,30.252280210321263,2.879750082925159
8,mild[noise_sigmaxburst_len_lines=8],1.0,,noise_x_burst,B0a-R,6,4,,31.256212635878267,1.9893453645743708
8,mild[noise_sigmaxburst_len_lines=8],1.0,,noise_x_burst,B4,6,4,,33.8518308336543,2.6701546587709486
8,mild[noise_sigmaxburst_len_lines=8],1.0,,noise_x_burst,P,6,4,,30.252280210321263,2.879750082925159
16,mild[noise_sigmaxburst_len_lines=9],1.0,,noise_x_burst,B0a-R,6,4,,31.263445522678854,1.9706998548475927
16,mild[noise_sigmaxburst_len_lines=9],1.0,,noise_x_burst,B4,6,4,,33.8518308336543,2.6701546587709486
16,mild[noise_sigmaxburst_len_lines=9],1.0,,noise_x_burst,P,6,4,,30.252280210321263,2.879750082925159
,mild[gainxoffset=0],1.0,0.6,gain_x_offset,B0a-R,6,,-20,31.004549521771526,1.944820105923621
