admissible,frames_per_s,height,mean_ms,median_ms,method,p95_ms,pixels,reason,repeats,resolution,warmup,width
True,14.740035882806561,96,67.84244000155013,68.43880000087665,B0a-R,69.32652000105008,12288,,5,128x96,1,128
True,9.696580423113511,96,103.12914000242017,96.62670000398066,B0d,129.4436400043196,12288,,5,128x96,1,128
True,14.055817337415345,96,71.1449199996423,71.6415999995661,B3,75.72199999704026,12288,,5,128x96,1,128
True,7.085040178504538,96,141.1424600009923,137.6486000008299,B4,180.29818000213706,12288,,5,128x96,1,128
True,2.868425110703788,96,348.6233599993284,333.50570000038715,P,458.74003999924753,12288,,5,128x96,1,128
True,14.341132519124043,192,69.7295000005397,67.2638999967603,B0a-R,77.90070000191918,49152,,5,256x192,1,256
True,5.016859155112543,192,199.32790000311797,204.02950000425335,B0d,222.82408000464784,49152,,5,256x192,1,256
True,11.834608039107723,192,84.49793999898247,86.3000999961514,B3,95.22237999917705,49152,,5,256x192,1,256
True,3.646485218538047,192,274.23667999973986,301.452400002745,B4,329.76403999637114,49152,,5,256x192,1,256
True,1.976372623392003,192,505.9774600013043,491.8178000007174,P,596.253400000569,49152,,5,256x192,1,256
True,13.547697649717614,240,73.81328000192298,73.65380000555888,B0a-R,76.22674000012921,76800,,5,320x240,1,320
True,3.2711094176785087,240,305.70668000145815,307.68320000061067,B0d,334.80226000538096,76800,,5,320x240,1,320
True,11.897348723501278,240,84.05233999947086,87.60749999783002,B3,92.46886000328232,76800,,5,320x240,1,320
True,2.433933551085327,240,410.85755999956746,434.0493999989121,B4,450.77086000092095,76800,,5,320x240,1,320
False,,,,,P,,,"CapacityExceeded: frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,320x240,,
True,13.79136098105891,288,72.50916000048164,69.72860000678338,B0a-R,80.60957999987295,110592,,5,384x288,1,384
True,2.9445651454267,288,339.6087200017064,335.4934000017238,B0d,393.138860000181,110592,,5,384x288,1,384
True,10.59089124046851,288,94.42075999977533,97.2092000010889,B3,107.44132000254467,110592,,5,384x288,1,384
True,2.3382539705714747,288,427.66954000107944,454.0527000062866,B4,471.99884000146994,110592,,5,384x288,1,384
False,,,,,P,,,"CapacityExceeded: frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,384x288,,
