codebook,correlation_with_source,direct_accuracy_pct,neighbour_accuracy_pct,plane_std,reconstruction_psnr_db,seconds,view
,0.0369,0.0,28.09,31.0898,15.35,0.0996,B2: перемішана яскравість
ключова,0.0,0.0,0.56,0.0,15.19,0.0806,B2l ключова: яскравість
ключова,-0.0022,0.52,1.69,76.4711,9.35,0.1109,B2l ключова: Cb
ключова,-0.0043,1.04,1.69,73.9634,9.71,0.0997,B2l ключова: Cr
впорядкована,0.0,0.0,0.56,0.0,15.19,0.08,B2l впорядкована: яскравість
впорядкована,0.0331,0.52,5.06,48.1963,8.4,0.1037,B2l впорядкована: Cb
впорядкована,0.0223,0.0,8.43,52.6449,11.61,0.101,B2l впорядкована: Cr
