availability,coverage,label,order,psnr_displayed,psnr_full,scene,step
0.8333333333333334,0.6927083333333334,B4 (база),fwd,30.08280991934751,28.57969841081031,natural:105627169,0
0.9166666666666666,0.7291666666666666,B4 (база),fwd,24.44540072847052,23.539916424560428,natural:106651461,0
0.875,0.6979166666666666,B4 (база),fwd,22.367980088635207,21.572829563822378,natural:108911529,0
0.875,0.6302083333333334,B4 (база),fwd,22.827877279298054,22.31341549404056,natural:116466520,0
0.9166666666666666,0.6145833333333334,B4 (база),fwd,18.99665481986753,18.55413285553749,natural:123079448,0
0.875,0.7135416666666666,B4 (база),fwd,21.83258320126509,21.06105628563176,natural:144041236,0
0.9583333333333334,0.640625,B4 (база),fwd,19.3393894818068,19.261695861196884,natural:74983792,0
1.0,0.8072916666666666,B4 (база),fwd,20.961703180300777,20.961703180300777,natural:81047795,0
0.875,0.7291666666666666,B4 (база),fwd,22.39366311918596,20.983795864389073,natural:97165575,0
0.875,0.6145833333333334,B4 (база),fwd,17.903402357386806,17.910267880808615,natural:98913003,0
0.8333333333333334,0.6354166666666666,B4 (база),fwd,21.152688059704662,20.845013347867006,natural:99599833,0
0.8333333333333334,0.734375,+ менша одиниця 640→320 Б,fwd,31.677286595151855,29.497861382090623,natural:105627169,1
0.9583333333333334,0.7578125,+ менша одиниця 640→320 Б,fwd,24.14952000961996,23.658853518650215,natural:106651461,1
1.0,0.703125,+ менша одиниця 640→320 Б,fwd,20.50265805541196,20.50265805541196,natural:108911529,1
0.875,0.625,+ менша одиниця 640→320 Б,fwd,22.851300184368725,22.336838399111226,natural:116466520,1
0.9583333333333334,0.6675211588541666,+ менша одиниця 640→320 Б,fwd,20.172297398869365,19.866775920690742,natural:123079448,1
0.9583333333333334,0.7734375,+ менша одиниця 640→320 Б,fwd,21.799491780410175,21.416468320184133,natural:144041236,1
1.0,0.6796875,+ менша одиниця 640→320 Б,fwd,19.441660915767148,19.441660915767148,natural:74983792,1
0.25,0.2109375,+ менша одиниця 640→320 Б,fwd,15.87124480282499,20.57313958143193,natural:81047795,1
1.0,0.7248128255208334,+ менша одиниця 640→320 Б,fwd,20.587077891319378,20.587077891319378,natural:97165575,1
1.0,0.6953125,+ менша одиниця 640→320 Б,fwd,18.374654655018478,18.374654655018478,natural:98913003,1
0.8333333333333334,0.640625,+ менша одиниця 640→320 Б,fwd,21.22948880352295,20.865689168204867,natural:99599833,1
1.0,0.9166666666666666,+ сильніший FEC nsym 96→128,fwd,33.64478333167505,33.64478333167505,natural:105627169,2
1.0,0.9348958333333334,+ сильніший FEC nsym 96→128,fwd,26.997550762036273,26.997550762036273,natural:106651461,2
1.0,0.8723958333333334,+ сильніший FEC nsym 96→128,fwd,24.523654064576977,24.523654064576977,natural:108911529,2
0.9583333333333334,0.8072916666666666,+ сильніший FEC nsym 96→128,fwd,26.344679512830893,25.830217727573398,natural:116466520,2
1.0,0.8767293294270834,+ сильніший FEC nsym 96→128,fwd,23.241343839321605,23.241343839321605,natural:123079448,2
1.0,0.9010416666666666,+ сильніший FEC nsym 96→128,fwd,23.50653342734604,23.50653342734604,natural:144041236,2
1.0,0.8585205078125,+ сильніший FEC nsym 96→128,fwd,22.395085175209093,22.395085175209093,natural:74983792,2
0.25,0.23697916666666666,+ сильніший FEC nsym 96→128,fwd,16.483863768706765,22.656293999251847,natural:81047795,2
1.0,0.8828125,+ сильніший FEC nsym 96→128,fwd,23.338376593710823,23.338376593710823,natural:97165575,2
1.0,0.8072916666666666,+ сильніший FEC nsym 96→128,fwd,20.589167444093167,20.589167444093167,natural:98913003,2
0.9583333333333334,0.8020833333333334,+ сильніший FEC nsym 96→128,fwd,23.496281502092412,23.32372695993817,natural:99599833,2
1.0,0.9114583333333334,+ нижча якість 12→8,fwd,32.072764193738,32.072764193738,natural:105627169,3
1.0,0.9322916666666666,+ нижча якість 12→8,fwd,26.494366871391538,26.494366871391538,natural:106651461,3
1.0,0.8645833333333334,+ нижча якість 12→8,fwd,23.37616290534976,23.37616290534976,natural:108911529,3
0.9583333333333334,0.8125,+ нижча якість 12→8,fwd,25.59313607305798,25.085852896386708,natural:116466520,3
1.0,0.8515625,+ нижча якість 12→8,fwd,21.950020130608902,21.950020130608902,natural:123079448,3
1.0,0.8958333333333334,+ нижча якість 12→8,fwd,22.736772943449296,22.736772943449296,natural:144041236,3
1.0,0.8619791666666666,+ нижча якість 12→8,fwd,22.281459728532393,22.281459728532393,natural:74983792,3
1.0,0.890625,+ нижча якість 12→8,fwd,21.118867369888697,21.118867369888697,natural:81047795,3
1.0,0.9036458333333334,+ нижча якість 12→8,fwd,23.18073321641422,23.18073321641422,natural:97165575,3
1.0,0.7838541666666666,+ нижча якість 12→8,fwd,19.705990771556966,19.705990771556966,natural:98913003,3
0.9583333333333334,0.8020833333333334,+ нижча якість 12→8,fwd,22.8893089276739,22.649997293141098,natural:99599833,3
1.0,0.9088541666666666,+ два описи (MDC),fwd,32.95617080860721,32.95617080860721,natural:105627169,4
1.0,0.90625,+ два описи (MDC),fwd,25.72960243803027,25.72960243803027,natural:106651461,4
1.0,0.859375,+ два описи (MDC),fwd,22.875995807703813,22.875995807703813,natural:108911529,4
1.0,0.8255208333333334,+ два описи (MDC),fwd,26.071859182514903,26.071859182514903,natural:116466520,4
1.0,0.8776041666666666,+ два описи (MDC),fwd,22.147727770859632,22.147727770859632,natural:123079448,4
1.0,0.9036458333333334,+ два описи (MDC),fwd,22.003355884416262,22.003355884416262,natural:144041236,4
1.0,0.8619791666666666,+ два описи (MDC),fwd,21.24553496189186,21.24553496189186,natural:74983792,4
