channel,clip,count,frame_id,job_id,method,repetition,scene,status
clean,nat_074983792,8,3,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,4,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,5,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,6,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,7,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,8,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,9,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,10,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,11,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,12,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,13,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,14,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,15,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
mild,nat_074983792,8,0,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,1,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,2,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,3,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,4,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,5,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,6,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,7,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,8,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,9,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,10,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,11,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,12,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,13,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,14,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,15,3013192aa65fe893,B0d,0,natural:74983792,verified
mild,nat_074983792,8,0,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,1,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,2,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,3,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,4,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,5,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,6,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,7,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,8,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,9,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,10,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,11,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,12,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,13,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,14,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,15,27b8d9c356852734,B0d,1,natural:74983792,verified
mild,nat_074983792,8,0,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,1,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,2,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,3,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,4,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,5,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,6,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,7,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,8,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,9,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,10,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,11,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,12,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,13,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,14,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,15,505ca5dd4c637cd2,B0d,2,natural:74983792,verified
mild,nat_074983792,8,0,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,1,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,2,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,3,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,4,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,5,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,6,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,7,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,8,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,9,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,10,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,11,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,12,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,13,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,14,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,15,4240bd10fa672498,B0d,4,natural:74983792,verified
mild,nat_074983792,8,0,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,1,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,2,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,3,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,4,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,5,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,6,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,7,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,8,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,9,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,10,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,11,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,12,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,13,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,14,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
mild,nat_074983792,8,15,d3cbf1fc21e2f192,B0d,3,natural:74983792,verified
harsh,nat_074983792,1,0,529d194107685a16,B0d,0,natural:74983792,raster_dropped
harsh,nat_074983792,8,1,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,2,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,3,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,1,4,529d194107685a16,B0d,0,natural:74983792,raster_dropped
harsh,nat_074983792,8,5,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,6,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,7,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,8,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,9,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,10,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,11,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,12,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,13,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,4,14,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,15,529d194107685a16,B0d,0,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,0,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,1,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,2,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,4,3,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,4,4,7a6406a7cd0c2022,B0d,1,natural:74983792,no_sync
harsh,nat_074983792,4,5,7a6406a7cd0c2022,B0d,1,natural:74983792,no_sync
harsh,nat_074983792,8,6,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,7,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,8,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,9,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,10,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,11,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,12,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,13,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,4,14,7a6406a7cd0c2022,B0d,1,natural:74983792,no_sync
harsh,nat_074983792,8,15,7a6406a7cd0c2022,B0d,1,natural:74983792,header_unrecoverable
harsh,nat_074983792,4,0,f14820f2ee70979d,B0d,2,natural:74983792,no_sync
harsh,nat_074983792,8,1,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,2,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,3,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,4,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,5,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,6,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,7,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,4,8,f14820f2ee70979d,B0d,2,natural:74983792,no_sync
harsh,nat_074983792,8,9,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,4,10,f14820f2ee70979d,B0d,2,natural:74983792,no_sync
harsh,nat_074983792,8,11,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,12,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,13,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,14,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,4,15,f14820f2ee70979d,B0d,2,natural:74983792,header_unrecoverable
harsh,nat_074983792,4,0,d59fd337eed576ee,B0d,4,natural:74983792,no_sync
harsh,nat_074983792,8,1,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,2,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,3,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,4,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,5,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,6,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,4,7,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,8,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,9,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,10,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,11,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,1,12,d59fd337eed576ee,B0d,4,natural:74983792,raster_dropped
harsh,nat_074983792,1,13,d59fd337eed576ee,B0d,4,natural:74983792,raster_dropped
harsh,nat_074983792,4,14,d59fd337eed576ee,B0d,4,natural:74983792,no_sync
harsh,nat_074983792,8,15,d59fd337eed576ee,B0d,4,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,0,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,1,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,2,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
harsh,nat_074983792,4,3,8e51259b2c638d9b,B0d,3,natural:74983792,no_sync
harsh,nat_074983792,8,4,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,5,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,6,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,7,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,8,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,9,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,10,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,11,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
harsh,nat_074983792,8,12,8e51259b2c638d9b,B0d,3,natural:74983792,header_unrecoverable
