authenticated,channel,coverage_meaning,failures,hi,lo,mean,method,metric,n_bit_exact_excluded,n_failed,n_observations,n_scenes,n_sources,n_units,unit_of_independence
False,bursty,,{},21.45935006679876,20.34707673197462,20.85257707722859,B0a-R,psnr_displayed,0,0,1120,14,14,14,source
False,bursty,,"{""deadline_miss"": 43, ""no_sync"": 36}",22.85745706462734,19.946577571122774,21.234575649077062,B0d,psnr_displayed,0,79,1041,14,14,14,source
False,bursty,,{},16.160294621039107,15.16937417375966,15.622806512356263,B1,psnr_displayed,0,0,1120,14,14,14,source
False,bursty,,{},16.121930260615255,15.155977146399001,15.60052908641944,B2,psnr_displayed,0,0,1120,14,14,14,source
True,bursty,,"{""deadline_miss"": 344, ""no_sync"": 166}",25.625488049122218,21.308462775614036,23.233658203039276,B3,psnr_displayed,0,510,610,14,14,14,source
True,bursty,,"{""deadline_miss"": 47, ""no_sync"": 37}",22.92481398311761,19.917354400538077,21.258379412267146,B4,psnr_displayed,0,84,1036,14,14,14,source
True,bursty,,"{""no_sync"": 10}",24.872585928146172,21.84133704605116,23.173007713735696,B4t,psnr_displayed,0,10,1110,14,14,14,source
True,bursty,,"{""no_sync"": 2}",24.751119004160888,21.318324779883802,22.841678477850508,P,psnr_displayed,0,2,1118,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B0a,psnr_full,0,0,1120,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B0a-R,psnr_full,0,0,1120,14,14,14,source
False,clean,,{},28.797203240366393,25.458886620531505,26.92039112214247,B0d,psnr_full,0,0,1120,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B1,psnr_full,0,0,1120,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B2,psnr_full,0,0,1120,14,14,14,source
True,clean,,{},28.797203240366393,25.458886620531505,26.92039112214247,B3,psnr_full,0,0,1120,14,14,14,source
True,clean,,{},28.797203240366393,25.458886620531505,26.92039112214247,B4,psnr_full,0,0,1120,14,14,14,source
True,clean,,{},27.456128455800187,24.330523341231462,25.706689350590676,B4t,psnr_full,0,0,1120,14,14,14,source
True,clean,,{},26.399769274479294,23.053065483520857,24.530585098930086,P,psnr_full,0,0,1120,14,14,14,source
False,clean,,{},0.9991275457843068,0.9983582028045102,0.9987910898415256,B0a,ssim_full,0,0,1120,14,14,14,source
False,clean,,{},0.9991275457843068,0.9983582028045102,0.9987910898415256,B0a-R,ssim_full,0,0,1120,14,14,14,source
False,clean,,{},0.8117136752912876,0.7431478092682785,0.778137675101455,B0d,ssim_full,0,0,1120,14,14,14,source
False,clean,,{},0.9991275457843068,0.9983582028045102,0.9987910898415256,B1,ssim_full,0,0,1120,14,14,14,source
False,clean,,{},0.9991275457843068,0.9983582028045102,0.9987910898415256,B2,ssim_full,0,0,1120,14,14,14,source
True,clean,,{},0.8117136752912876,0.7431478092682785,0.778137675101455,B3,ssim_full,0,0,1120,14,14,14,source
True,clean,,{},0.8117136752912876,0.7431478092682785,0.778137675101455,B4,ssim_full,0,0,1120,14,14,14,source
True,clean,,{},0.7646118952450093,0.6830452257488334,0.723909502208106,B4t,ssim_full,0,0,1120,14,14,14,source
True,clean,,{},0.7054034297939472,0.6080397972299221,0.6548131965224426,P,ssim_full,0,0,1120,14,14,14,source
False,clean,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0a,coverage,0,0,1120,14,14,14,source
False,clean,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0a-R,coverage,0,0,1120,14,14,14,source
False,clean,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0d,coverage,0,0,1120,14,14,14,source
False,clean,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B1,coverage,0,0,1120,14,14,14,source
False,clean,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B2,coverage,0,0,1120,14,14,14,source
True,clean,,{},1.0,1.0,1.0,B3,coverage,0,0,1120,14,14,14,source
True,clean,,{},1.0,1.0,1.0,B4,coverage,0,0,1120,14,14,14,source
True,clean,,{},1.0,1.0,1.0,B4t,coverage,0,0,1120,14,14,14,source
True,clean,,{},1.0,1.0,1.0,P,coverage,0,0,1120,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B0a,psnr_verified,0,0,1120,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B0a-R,psnr_verified,0,0,1120,14,14,14,source
False,clean,,{},28.797203240366393,25.458886620531505,26.92039112214247,B0d,psnr_verified,0,0,1120,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B1,psnr_verified,0,0,1120,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B2,psnr_verified,0,0,1120,14,14,14,source
True,clean,,{},28.797203240366393,25.458886620531505,26.92039112214247,B3,psnr_verified,0,0,1120,14,14,14,source
True,clean,,{},28.797203240366393,25.458886620531505,26.92039112214247,B4,psnr_verified,0,0,1120,14,14,14,source
True,clean,,{},27.456128455800187,24.330523341231462,25.706689350590676,B4t,psnr_verified,0,0,1120,14,14,14,source
True,clean,,{},26.399769274479294,23.053065483520857,24.530585098930086,P,psnr_verified,0,0,1120,14,14,14,source
False,clean,,{},1.0,1.0,1.0,B0a,availability,0,0,1120,14,14,14,source
False,clean,,{},1.0,1.0,1.0,B0a-R,availability,0,0,1120,14,14,14,source
False,clean,,{},1.0,1.0,1.0,B0d,availability,0,0,1120,14,14,14,source
False,clean,,{},1.0,1.0,1.0,B1,availability,0,0,1120,14,14,14,source
False,clean,,{},1.0,1.0,1.0,B2,availability,0,0,1120,14,14,14,source
True,clean,,{},1.0,1.0,1.0,B3,availability,0,0,1120,14,14,14,source
True,clean,,{},1.0,1.0,1.0,B4,availability,0,0,1120,14,14,14,source
True,clean,,{},1.0,1.0,1.0,B4t,availability,0,0,1120,14,14,14,source
True,clean,,{},1.0,1.0,1.0,P,availability,0,0,1120,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B0a,psnr_displayed,0,0,1120,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B0a-R,psnr_displayed,0,0,1120,14,14,14,source
False,clean,,{},28.797203240366393,25.458886620531505,26.92039112214247,B0d,psnr_displayed,0,0,1120,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B1,psnr_displayed,0,0,1120,14,14,14,source
False,clean,,{},53.21899250647322,53.18540135316816,53.203624238098776,B2,psnr_displayed,0,0,1120,14,14,14,source
True,clean,,{},28.797203240366393,25.458886620531505,26.92039112214247,B3,psnr_displayed,0,0,1120,14,14,14,source
True,clean,,{},28.797203240366393,25.458886620531505,26.92039112214247,B4,psnr_displayed,0,0,1120,14,14,14,source
True,clean,,{},27.456128455800187,24.330523341231462,25.706689350590676,B4t,psnr_displayed,0,0,1120,14,14,14,source
True,clean,,{},26.399769274479294,23.053065483520857,24.530585098930086,P,psnr_displayed,0,0,1120,14,14,14,source
False,harsh,,"{""no_sync"": 47}",16.089099115290523,15.469966945746318,15.751378281417345,B0a,psnr_full,0,47,1073,14,14,14,source
False,harsh,,{},19.125686979915,18.239067295297804,18.66082232749556,B0a-R,psnr_full,0,0,1120,14,14,14,source
False,harsh,,"{""no_sync"": 248, ""deadline_miss"": 872}",nan,nan,nan,B0d,psnr_full,0,1120,0,0,0,0,source
False,harsh,,"{""no_sync"": 47}",15.512514908236898,14.902549116913406,15.183507442793196,B1,psnr_full,0,47,1073,14,14,14,source
False,harsh,,"{""no_sync"": 47}",15.515769985107239,14.94029992247229,15.20138787443953,B2,psnr_full,0,47,1073,14,14,14,source
True,harsh,,"{""no_sync"": 186, ""deadline_miss"": 934}",nan,nan,nan,B3,psnr_full,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 248, ""deadline_miss"": 872}",nan,nan,nan,B4,psnr_full,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 256, ""deadline_miss"": 864}",nan,nan,nan,B4t,psnr_full,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 335, ""deadline_miss"": 785}",nan,nan,nan,P,psnr_full,0,1120,0,0,0,0,source
False,harsh,,"{""no_sync"": 47}",0.3541006633324475,0.2766565761083528,0.31709257056054774,B0a,ssim_full,0,47,1073,14,14,14,source
False,harsh,,{},0.4615842253371266,0.3730774272948025,0.419426427702437,B0a-R,ssim_full,0,0,1120,14,14,14,source
False,harsh,,"{""no_sync"": 248, ""deadline_miss"": 872}",nan,nan,nan,B0d,ssim_full,0,1120,0,0,0,0,source
False,harsh,,"{""no_sync"": 47}",0.3092953478992888,0.2359639419535934,0.2737929690414583,B1,ssim_full,0,47,1073,14,14,14,source
