P_minus_B4,burst_len_lines,ci95_halfwidth,decisive,noise_sigma
-2.3332341551474194,1.0,2.7431663744823247,False,0.0
-2.3332341551474194,1.0,2.7431663744823247,False,4.0
-2.3332341551474194,1.0,2.7431663744823247,False,8.0
-2.3332341551474194,1.0,2.7431663744823247,False,12.0
-2.3332341551474194,1.0,2.7431663744823247,False,16.0
-2.3332341551474194,4.0,2.7431663744823247,False,0.0
-2.3332341551474194,4.0,2.7431663744823247,False,4.0
-2.3332341551474194,4.0,2.7431663744823247,False,8.0
-2.3332341551474194,4.0,2.7431663744823247,False,12.0
-2.3332341551474194,4.0,2.7431663744823247,False,16.0
-2.3332341551474194,8.0,2.7431663744823247,False,0.0
-2.3332341551474194,8.0,2.7431663744823247,False,4.0
-2.3332341551474194,8.0,2.7431663744823247,False,8.0
-2.3332341551474194,8.0,2.7431663744823247,False,12.0
-2.3332341551474194,8.0,2.7431663744823247,False,16.0
-2.3332341551474194,16.0,2.7431663744823247,False,0.0
-2.3332341551474194,16.0,2.7431663744823247,False,4.0
-2.3332341551474194,16.0,2.7431663744823247,False,8.0
-2.3332341551474194,16.0,2.7431663744823247,False,12.0
-2.3332341551474194,16.0,2.7431663744823247,False,16.0
-2.3332341551474194,32.0,2.7431663744823247,False,0.0
-2.3332341551474194,32.0,2.7431663744823247,False,4.0
-2.3332341551474194,32.0,2.7431663744823247,False,8.0
-2.3332341551474194,32.0,2.7431663744823247,False,12.0
-2.3332341551474194,32.0,2.7431663744823247,False,16.0
-2.3332341551474194,48.0,2.7431663744823247,False,0.0
-2.3332341551474194,48.0,2.7431663744823247,False,4.0
-2.3332341551474194,48.0,2.7431663744823247,False,8.0
-2.3332341551474194,48.0,2.7431663744823247,False,12.0
-2.3332341551474194,48.0,2.7431663744823247,False,16.0
