admissible,availability,coverage,delta_hi,delta_lo,delta_psnr,label,psnr_full,step
True,0.9436274509803922,0.7126225490196079,nan,nan,nan,B4 (база),22.63990578116549,0
True,0.9436274509803922,0.7185441559436275,0.2641,-0.2775,0.0095,+ менша одиниця 640→320 Б,22.649409079259446,1
True,0.9754901960784315,0.8690257352941176,3.6244,2.5181,3.0383,+ сильніший FEC nsym 96→128,25.687708965946705,2
True,0.9975490196078433,0.8832720588235293,-0.4253,-1.0907,-0.7644,+ нижча якість 12→8,24.923315361287287,3
True,1.0,0.8805147058823529,-0.7208,-1.1381,-0.9234,+ два описи (MDC),23.99987814855675,4
True,1.0,0.8239889705882352,0.4459,0.1004,0.2553,+ BAWP = P,24.25515559572607,5
