authenticated,channel,hi,lo,mean,method,metric,n_scenes
False,clean,53.23651285027884,53.193408531639186,53.215121902807994,B0a,psnr_full,17
False,mild,29.684866504335112,28.7025742829017,29.167422445833466,B0a,psnr_full,17
False,moderate,22.230799326615273,21.366325071941073,21.770460834729498,B0a,psnr_full,17
False,bursty,16.235227804263435,15.342524594790389,15.789134426931756,B0a,psnr_full,17
False,harsh,16.09940041720745,15.520825143575722,15.811695095701607,B0a,psnr_full,17
False,clean,53.23651285027884,53.193408531639186,53.215121902807994,B0a-R,psnr_full,17
False,mild,29.97572200042195,28.94473456670632,29.432638873681217,B0a-R,psnr_full,17
False,moderate,24.61149453467615,23.562782078664952,24.058889349257328,B0a-R,psnr_full,17
False,bursty,21.35557524783996,20.372989561786873,20.843614995335678,B0a-R,psnr_full,17
False,harsh,19.431088572295288,18.724692462928864,19.072558449292117,B0a-R,psnr_full,17
False,clean,29.17458951784838,26.86859496738849,27.980130393599797,B0d,psnr_full,17
False,mild,29.17458951784838,26.86859496738849,27.980130393599797,B0d,psnr_full,17
False,moderate,27.10033298455828,24.76803021660946,25.874898363957694,B0d,psnr_full,17
False,bursty,24.402823563923487,22.148969701219933,23.210721493799895,B0d,psnr_full,17
False,harsh,nan,nan,nan,B0d,psnr_full,0
False,clean,53.23651285027884,53.193408531639186,53.215121902807994,B1,psnr_full,17
False,mild,28.91241744371484,27.99869030456268,28.443452918412042,B1,psnr_full,17
False,moderate,21.541645236769117,20.777384577903177,21.146050922531643,B1,psnr_full,17
False,bursty,16.142871678244,15.236046554593528,15.690909801285473,B1,psnr_full,17
False,harsh,15.68563043463515,15.140781196530186,15.417890599354019,B1,psnr_full,17
False,clean,53.23651285027884,53.193408531639186,53.215121902807994,B2,psnr_full,17
False,mild,28.914762203539983,27.986147104356274,28.43865466411123,B2,psnr_full,17
False,moderate,21.497151098577536,20.735674049518547,21.108273228034445,B2,psnr_full,17
False,bursty,16.165863831850807,15.272412256300337,15.717122719333297,B2,psnr_full,17
False,harsh,15.674782301028644,15.122174013855565,15.40823777364747,B2,psnr_full,17
True,clean,29.17458951784838,26.86859496738849,27.980130393599797,B3,psnr_full,17
True,mild,29.17458951784838,26.86859496738849,27.980130393599797,B3,psnr_full,17
True,moderate,29.181331859976577,26.879631697941328,27.98870467927935,B3,psnr_full,17
True,bursty,29.184048027037694,26.874561203191394,27.9896791422945,B3,psnr_full,17
True,harsh,nan,nan,nan,B3,psnr_full,0
True,clean,29.17458951784838,26.86859496738849,27.980130393599797,B4,psnr_full,17
True,mild,29.17458951784838,26.86859496738849,27.980130393599797,B4,psnr_full,17
True,moderate,26.67942613644725,24.478200191749323,25.525558796519455,B4,psnr_full,17
True,bursty,24.360553255555693,22.112586827755763,23.177036178616277,B4,psnr_full,17
True,harsh,nan,nan,nan,B4,psnr_full,0
True,clean,26.801482785580802,24.565244649283834,25.653208203606795,P,psnr_full,17
True,mild,26.801482785580802,24.565244649283834,25.653208203606795,P,psnr_full,17
True,moderate,26.51207117644005,24.255725432849022,25.34965750646984,P,psnr_full,17
True,bursty,25.18925104432313,23.071458549212288,24.083913708419708,P,psnr_full,17
True,harsh,nan,nan,nan,P,psnr_full,0
True,clean,27.840859394372497,25.67285117800928,26.723534623728,B4t,psnr_full,17
True,mild,27.840859394372497,25.67285117800928,26.723534623728,B4t,psnr_full,17
True,moderate,27.375987013662787,25.216253683631987,26.26340432198779,B4t,psnr_full,17
True,bursty,25.945332063222878,23.814526789463436,24.84840238158835,B4t,psnr_full,17
True,harsh,nan,nan,nan,B4t,psnr_full,0
