bits_per_frame,codec,n_descriptions,psnr_full,quality,ssim_full,stripe_height
11955.5,dct,1,28.104614397754055,8,0.7668738907512743,48
12906.5,dct,1,28.104614397754055,8,0.7668738907512743,24
13551.0,dct,1,35.639854358267854,25,0.9174701300910102,48
13814.0,dct,1,28.104614397754055,8,0.7668738907512743,16
14406.0,dct,1,35.639854358267854,25,0.9174701300910102,24
17827.0,dct,1,29.560941457925654,12,0.8181888961244983,48
18396.0,dct,1,36.59264795985678,35,0.9308918622955925,48
18472.0,dct,1,29.560941457925654,12,0.8181888961244983,24
18820.0,dct,1,36.58774946654807,35,0.9309848346317002,24
19426.18181818182,dct,1,32.437792174326205,18,0.8697559797750704,24
19511.0,dct,1,29.560941457925654,12,0.8181888961244983,16
20037.0,dct,1,36.58774946654807,35,0.9309848346317002,16
25113.0,dct,1,37.626086872500125,50,0.9429943535285392,48
25284.0,dct,1,37.631156459748226,50,0.9430876489949745,24
26066.0,dct,1,37.631156459748226,50,0.9430876489949745,16
26095.0,dct,1,30.79092434890404,18,0.856240930012961,48
27051.0,dct,1,30.7839785323156,18,0.8561178734489308,16
29488.0,dct,1,40.552728738730934,70,0.9640782327769427,48
32084.8,dct,1,40.01262316750093,70,0.9611068700203026,24
34528.0,dct,1,31.75037409717263,25,0.8820176312519372,16
13355.0,dct,2,27.005593246473097,8,0.7029168502120731,48
15965.0,dct,2,34.08774446359993,25,0.8942326123083145,48
19254.5,dct,2,28.242260509911368,12,0.7573558413988208,48
20929.0,dct,2,34.93197675054011,35,0.9082895772427577,48
21924.666666666668,dct,2,30.500245847670797,18,0.8147302202269183,48
28158.0,dct,2,35.90611055105964,50,0.9221307439220878,48
32384.0,dct,2,39.06380553875726,70,0.9554222808985079,48
26771.0,jpeg,1,34.6043936917344,18,0.9007122910877245,48
27656.5,jpeg,1,28.132654308613468,8,0.7672413455902526,48
28810.0,jpeg,1,33.22973277309326,12,0.8784150073603598,24
30661.0,jpeg,1,34.60342554041486,18,0.9008082993123492,24
31038.0,jpeg,1,35.63916431027188,25,0.9175763918473159,48
32261.5,jpeg,1,28.132443822887456,8,0.7670830290759036,24
32961.0,jpeg,1,35.64011814220471,25,0.917494303595418,24
34605.142857142855,jpeg,1,30.0299597212219,12,0.8219757829290293,48
40486.857142857145,jpeg,1,36.79332764171136,35,0.9336765725526214,48
41244.0,jpeg,1,34.60342554041486,18,0.9008082993123492,16
41337.0,jpeg,1,36.5969206651888,35,0.9312312510608882,24
42842.5,jpeg,1,28.132443822887456,8,0.7670830290759036,16
43213.0,jpeg,1,35.64011814220471,25,0.917494303595418,16
43580.0,jpeg,1,38.900536357247205,50,0.9545414463033169,48
45115.2,jpeg,1,38.41521885558684,50,0.9502051878208475,24
45272.0,jpeg,1,39.17332745169956,50,0.9553038295028332,16
45965.0,jpeg,1,36.59391361092021,35,0.9312101298102013,16
46672.0,jpeg,1,29.54700730960834,12,0.8181299007122491,16
29295.0,jpeg,2,32.07480655542153,12,0.855746398995973,48
31428.0,jpeg,2,33.19672122603009,18,0.8756497065477444,48
32634.0,jpeg,2,27.028291854731997,8,0.7031714146563874,48
36317.0,jpeg,2,34.08817385540803,25,0.8942609736933216,48
39030.0,jpeg,2,36.16059389126449,35,0.9351396282574885,48
47416.0,jpeg,2,37.52924528105937,50,0.9461500202546325,48
