bits_per_frame,codec,n_descriptions,psnr_full,quality
12906.5,dct,1,28.104614397754055,8
14406.0,dct,1,35.639854358267854,25
18472.0,dct,1,29.560941457925654,12
18820.0,dct,1,36.58774946654807,35
19426.18181818182,dct,1,32.437792174326205,18
25284.0,dct,1,37.631156459748226,50
32084.8,dct,1,40.01262316750093,70
28810.0,jpeg,1,33.22973277309326,12
30661.0,jpeg,1,34.60342554041486,18
32261.5,jpeg,1,28.132443822887456,8
32961.0,jpeg,1,35.64011814220471,25
41337.0,jpeg,1,36.5969206651888,35
45115.2,jpeg,1,38.41521885558684,50
