frames_per_s,median_ms,method,pixels,resolution
20.388706613828624,49.1132999995898,B0a-R,12288.0,128x96
19.866181402159953,50.38689999946655,B0a-R,49152.0,256x192
18.336061128018937,54.56529999992199,B0a-R,76800.0,320x240
17.561865182395504,57.40869999954157,B0a-R,110592.0,384x288
9.692965621001777,96.98579999985668,B0d,12288.0,128x96
5.166934882253125,201.30169999993086,B0d,49152.0,256x192
3.409419763123418,289.8947000003318,B0d,76800.0,320x240
3.187317231262654,301.4929999999367,B0d,110592.0,384x288
14.453214655097728,69.27879999966535,B3,12288.0,128x96
12.975520383239813,77.67409999996744,B3,49152.0,256x192
13.156329825951104,79.56910000029893,B3,76800.0,320x240
11.010162600288627,93.85370000018156,B3,110592.0,384x288
6.901722780419629,143.99600000069768,B4,12288.0,128x96
3.6964529059729165,296.1691000000428,B4,49152.0,256x192
2.479014645225126,418.29839999991236,B4,76800.0,320x240
2.3851343164550647,437.1839999994336,B4,110592.0,384x288
2.947093888395973,327.6474000003873,P,12288.0,128x96
1.9857112980695957,491.12200000035955,P,49152.0,256x192
