authentication,channel,confidentiality,coverage,integrity,method,psnr_full
none,bursty,none,1.0,none,B0a,15.789134426931756
none,bursty,none,1.0,none,B0a-R,20.843614995335678
none,bursty,broken (LFSR block permutation),1.0,none,B1,15.690909801285473
none,bursty,"weak (keyed permutation, no diffusion)",1.0,none,B2,15.717122719333297
none,bursty,none,0.7492086834733893,CRC-like via RS only,B0d,23.210721493799895
"AEAD, whole frame",bursty,AEAD,1.0,128-bit tag,B3,27.9896791422945
"AEAD, per unit",bursty,AEAD,0.7488576680672269,128-bit tag per unit,B4,23.177036178616277
"AEAD, per unit",bursty,AEAD,0.8150490196078432,128-bit tag per unit,P,24.083913708419708
