condition,level_A_psnr,level_B_psnr,mapped,method,note
clean,27.4750029517323,27.69115910776688,True,B4,
mild,27.4750029517323,27.69115910776688,True,B4,
moderate,24.702951981146054,15.61151390818631,True,B4,
harsh,12.506089966640229,12.49920771689904,True,B4,
clean,25.208143272704532,25.50193014235134,True,P,
mild,25.208143272704532,25.50193014235134,True,P,
moderate,24.914963432428866,18.939415403057488,True,P,
harsh,12.506089966640229,12.976226213588703,True,P,
