channel,hi,lo,mean,n_units,note,significant,unit_of_independence
clean,-2.192488806540845,-2.4635117539628584,-2.3269221899930024,17,,True,scene
mild,-2.192488806540845,-2.4635117539628584,-2.3269221899930024,17,,True,scene
moderate,0.21986282680550479,-0.5164801974773143,-0.17590129004962224,17,,False,scene
bursty,1.4017158313139513,0.48000903786594906,0.9068775298034287,17,,True,scene
harsh,,,,0,немає даних,False,scene
