attack,recovered_fraction,seconds,seeds_per_second
обраний кадр,1.0,,
відома пара,0.7174479166666666,,
"лише шифротекст
(сусідство)",0.4220505617977528,,
brute force,,5.411121999999523,8178.895245755668
