authenticated,coverage_hi,coverage_lo,coverage_mean,coverage_n,coverage_sd,method,psnr_hi,psnr_lo,psnr_mean,psnr_n,psnr_sd,sequences
False,1.0,1.0,1.0,21,0.0,B0a,22.22889758304109,20.215767105148906,21.222332344094998,21,2.3533986731539693,21
False,0.9510797279174945,0.7989202720825055,0.875,21,0.17787811838447135,B0d,29.121865372444802,23.110728461722132,26.116296917083467,21,7.027165792380013,21
False,1.0,1.0,1.0,21,0.0,B1,21.04612298142276,18.882911959833624,19.96451747062819,21,2.528846492498718,21
False,1.0,1.0,1.0,21,0.0,B2,21.005620573959998,18.88411058950525,19.944865581732625,21,2.4800969620837945,21
True,0.9121624699696779,0.5878375300303221,0.75,21,0.3791437722025775,B3,29.27976034924058,22.34560981414292,25.81268508169175,21,8.10619125186315,21
True,0.9428594251643039,0.7416643843595057,0.8422619047619048,21,0.23520191426982578,B4,28.662300334120488,22.701224127494825,25.681762230807657,21,6.9686436072097715,21
True,0.9766643440811426,0.8923832749664765,0.9345238095238095,21,0.09852662726269434,P,27.1235596432353,22.976510772216255,25.050035207725777,21,4.848001367889267,21
