P_wins,channel,psnr_B4,psnr_P,scene
False,clean,36.934786519166984,34.30111502047983,natural:105627169
False,clean,28.6655438839682,26.312619503968175,natural:106651461
False,clean,27.627214512074875,25.432811732316853,natural:108911529
False,clean,30.1191317060453,28.115343557303202,natural:116466520
False,clean,23.54216947159905,21.30313339043271,natural:122435702
False,clean,25.427753556000642,23.398092939729548,natural:123079448
False,clean,25.525183009189607,22.555392144908012,natural:123689542
False,clean,25.53646245364177,22.771856528241887,natural:132645039
False,clean,25.30970444967849,23.075767483404725,natural:144041236
False,clean,24.834398814754223,22.88956953643693,natural:74983792
False,clean,24.04605761492187,21.584211085476042,natural:81047795
False,clean,26.240153139332467,23.905089545961083,natural:97165575
False,clean,25.29779100029666,22.640982720399922,natural:98913003
False,clean,27.779125579324397,25.14220619596227,natural:99599833
False,mild,36.934786519166984,34.30111502047983,natural:105627169
False,mild,28.6655438839682,26.312619503968175,natural:106651461
False,mild,27.627214512074875,25.432811732316853,natural:108911529
False,mild,30.1191317060453,28.115343557303202,natural:116466520
False,mild,23.54216947159905,21.30313339043271,natural:122435702
False,mild,25.427753556000642,23.398092939729548,natural:123079448
False,mild,25.525183009189607,22.555392144908012,natural:123689542
False,mild,25.53646245364177,22.771856528241887,natural:132645039
False,mild,25.30970444967849,23.075767483404725,natural:144041236
False,mild,24.834398814754223,22.88956953643693,natural:74983792
False,mild,24.04605761492187,21.584211085476042,natural:81047795
False,mild,26.240153139332467,23.905089545961083,natural:97165575
False,mild,25.29779100029666,22.640982720399922,natural:98913003
False,mild,27.779125579324397,25.14220619596227,natural:99599833
True,moderate,33.47043462712922,34.12026112656141,natural:105627169
False,moderate,26.889104084066723,26.205673235158724,natural:106651461
True,moderate,24.1500569880618,25.279849374283145,natural:108911529
True,moderate,27.55852716626881,27.916200340941337,natural:116466520
True,moderate,19.742913219411502,20.617382312898588,natural:122435702
True,moderate,22.370661955422747,23.356782297295883,natural:123079448
False,moderate,22.31441632233672,22.238315901557318,natural:123689542
True,moderate,21.379112848343027,22.415264707667408,natural:132645039
False,moderate,23.07039142245764,22.705954072211387,natural:144041236
False,moderate,23.691351766042025,22.681419378988732,natural:74983792
False,moderate,22.22568749213599,21.36763637576151,natural:81047795
True,moderate,22.98381224719322,23.475170656460556,natural:97165575
True,moderate,22.332581666451514,22.375492526665788,natural:98913003
False,moderate,24.852342362106647,24.738564757343475,natural:99599833
True,bursty,28.90554405880156,32.62517315386828,natural:105627169
True,bursty,22.97954379012975,25.349324221401513,natural:106651461
True,bursty,20.773158287273198,23.52737749255305,natural:108911529
True,bursty,23.785948846305267,26.73557710323836,natural:116466520
True,bursty,17.738519138465737,19.344461783595285,natural:122435702
True,bursty,19.17479348267043,21.778825758516753,natural:123079448
True,bursty,20.235994036674136,21.013630805817577,natural:123689542
True,bursty,18.52081208285334,20.360805544400094,natural:132645039
True,bursty,20.14915607534237,21.818842314443707,natural:144041236
True,bursty,19.650941666819193,21.64944158474389,natural:74983792
False,bursty,20.572895859042525,20.2093327840226,natural:81047795
True,bursty,20.317049579395693,22.415253133417274,natural:97165575
True,bursty,18.577174159699005,20.635393675838138,natural:98913003
True,bursty,20.311595138235287,22.24732676779117,natural:99599833
False,harsh,17.001702271395224,17.001702271395224,natural:105627169
False,harsh,10.941564663513965,10.941564663513965,natural:106651461
False,harsh,12.900244391633283,12.900244391633283,natural:108911529
False,harsh,12.581473291707812,12.581473291707812,natural:116466520
False,harsh,13.083363052282937,13.083363052282937,natural:122435702
False,harsh,10.222721343403624,10.222721343403624,natural:123079448
False,harsh,14.080592194905554,14.080592194905554,natural:123689542
False,harsh,12.11944156996156,12.11944156996156,natural:132645039
False,harsh,10.882096580107605,10.882096580107605,natural:144041236
False,harsh,14.449781623276033,14.449781623276033,natural:74983792
False,harsh,13.669618331349104,13.669618331349104,natural:81047795
False,harsh,10.44924650069504,10.44924650069504,natural:97165575
False,harsh,13.172691459855049,13.172691459855049,natural:98913003
False,harsh,13.162225403358525,13.162225403358525,natural:99599833
