kind,t_s
capture,0.0
capture,0.12000480019200768
stripe_ready,0.01500060002400096
stripe_ready,0.03000120004800192
stripe_ready,0.045001800072002884
stripe_ready,0.06000240009600384
stripe_ready,0.0750030001200048
stripe_ready,0.09000360014400577
stripe_ready,0.10500420016800673
stripe_ready,0.12000480019200768
stripe_ready,0.13500540021600865
stripe_ready,0.1500060002400096
stripe_ready,0.16500660026401057
stripe_ready,0.18000720028801154
stripe_ready,0.19500780031201248
stripe_ready,0.21000840033601345
stripe_ready,0.22500900036001442
stripe_ready,0.24000960038401536
unit_ready,0.01500060002400096
unit_ready,0.01500060002400096
unit_ready,0.03000120004800192
unit_ready,0.03000120004800192
unit_ready,0.045001800072002884
unit_ready,0.045001800072002884
unit_ready,0.06000240009600384
unit_ready,0.06000240009600384
unit_ready,0.0750030001200048
unit_ready,0.0750030001200048
unit_ready,0.09000360014400577
unit_ready,0.09000360014400577
unit_ready,0.10500420016800673
unit_ready,0.10500420016800673
unit_ready,0.12000480019200768
unit_ready,0.12000480019200768
unit_ready,0.12000480019200768
unit_ready,0.12000480019200768
unit_ready,0.13500540021600865
unit_ready,0.13500540021600865
unit_ready,0.1500060002400096
unit_ready,0.1500060002400096
unit_ready,0.16500660026401057
unit_ready,0.16500660026401057
unit_ready,0.18000720028801154
unit_ready,0.18000720028801154
unit_ready,0.19500780031201248
unit_ready,0.19500780031201248
unit_ready,0.21000840033601345
unit_ready,0.21000840033601345
unit_ready,0.22500900036001442
unit_ready,0.22500900036001442
unit_ready,0.24000960038401536
unit_ready,0.24000960038401536
unit_ready,0.24000960038401536
unit_ready,0.24000960038401536
tx_start,0.03861111111111111
tx_start,0.0786111111111111
tx_start,0.11861111111111111
tx_start,0.1586159113031188
tx_start,0.19861591130311881
tx_start,0.23861591130311882
tx_end,0.0786111111111111
tx_end,0.11861111111111111
tx_end,0.15861111111111112
tx_end,0.19861591130311881
tx_end,0.23861591130311882
tx_end,0.2786159113031188
rx_end,0.0786111111111111
rx_end,0.11861111111111111
rx_end,0.15861111111111112
rx_end,0.19861591130311881
rx_end,0.23861591130311882
rx_end,0.2786159113031188
assembled,0.1586111111111111
assembled,0.2786159113031188
display,0.1586111111111111
display,0.2786159113031188
