channel,hi,lo,mean_P_minus_B4,n_scenes,p_holm,significant_at_95,significant_holm
clean,-2.236617848112393,-2.549409544760763,-2.389806023212383,14,0.0004999500049995,True,True
mild,-2.236617848112393,-2.549409544760763,-2.389806023212383,14,0.0004999500049995,True,True
moderate,0.415371631570401,-0.2711587640788721,0.0768298525578278,14,0.668933106689331,False,False
bursty,1.6901833788767127,0.8593681211025862,1.304209481768029,14,0.0004999500049995,True,True
harsh,nan,nan,nan,0,1.0,False,False
