authenticated,channel,hi,lo,mean,method,metric,n_scenes
False,clean,1.0,1.0,1.0,B0a,coverage,14
False,mild,1.0,1.0,1.0,B0a,coverage,14
False,moderate,1.0,1.0,1.0,B0a,coverage,14
False,bursty,1.0,1.0,1.0,B0a,coverage,14
False,harsh,1.0,1.0,1.0,B0a,coverage,14
False,clean,1.0,1.0,1.0,B0a-R,coverage,14
False,mild,1.0,1.0,1.0,B0a-R,coverage,14
False,moderate,1.0,1.0,1.0,B0a-R,coverage,14
False,bursty,1.0,1.0,1.0,B0a-R,coverage,14
False,harsh,1.0,1.0,1.0,B0a-R,coverage,14
False,clean,1.0,1.0,1.0,B0d,coverage,14
False,mild,1.0,1.0,1.0,B0d,coverage,14
False,moderate,0.9116484375,0.8740166480654762,0.8928683035714285,B0d,coverage,14
False,bursty,0.7618896337107832,0.7311066872115979,0.7459126253211075,B0d,coverage,14
False,harsh,nan,nan,nan,B0d,coverage,0
False,clean,1.0,1.0,1.0,B1,coverage,14
False,mild,1.0,1.0,1.0,B1,coverage,14
False,moderate,1.0,1.0,1.0,B1,coverage,14
False,bursty,1.0,1.0,1.0,B1,coverage,14
False,harsh,1.0,1.0,1.0,B1,coverage,14
False,clean,1.0,1.0,1.0,B2,coverage,14
False,mild,1.0,1.0,1.0,B2,coverage,14
False,moderate,1.0,1.0,1.0,B2,coverage,14
False,bursty,1.0,1.0,1.0,B2,coverage,14
False,harsh,1.0,1.0,1.0,B2,coverage,14
True,clean,1.0,1.0,1.0,B3,coverage,14
True,mild,1.0,1.0,1.0,B3,coverage,14
True,moderate,1.0,1.0,1.0,B3,coverage,14
True,bursty,1.0,1.0,1.0,B3,coverage,14
True,harsh,nan,nan,nan,B3,coverage,0
True,clean,1.0,1.0,1.0,B4,coverage,14
True,mild,1.0,1.0,1.0,B4,coverage,14
True,moderate,0.8866934523809523,0.8602550356079932,0.8729905399659863,B4,coverage,14
True,bursty,0.7647421246907854,0.7337466332031064,0.7487271285262356,B4,coverage,14
True,harsh,nan,nan,nan,B4,coverage,0
True,clean,1.0,1.0,1.0,P,coverage,14
True,mild,1.0,1.0,1.0,P,coverage,14
True,moderate,0.9620535714285713,0.9509486607142857,0.9565011160714285,P,coverage,14
True,bursty,0.8228683035714287,0.803013392857143,0.8141127232142857,P,coverage,14
True,harsh,nan,nan,nan,P,coverage,0
True,clean,1.0,1.0,1.0,B4t,coverage,14
True,mild,1.0,1.0,1.0,B4t,coverage,14
True,moderate,0.9846540178571429,0.9733258928571428,0.9791294642857143,B4t,coverage,14
True,bursty,0.8813431919642858,0.8584784890518709,0.8708306760204082,B4t,coverage,14
True,harsh,nan,nan,nan,B4t,coverage,0
