channel,hi,lo,mean,n_units,note,significant,unit_of_independence
clean,-2.236617848112393,-2.549409544760763,-2.389806023212383,14,,True,source
mild,-2.236617848112393,-2.549409544760763,-2.389806023212383,14,,True,source
moderate,0.415371631570401,-0.2711587640788721,0.0768298525578278,14,,False,source
bursty,1.6901833788767127,0.8593681211025862,1.304209481768029,14,,True,source
harsh,,,,0,немає даних,False,source
