authenticated,channel,hi,lo,mean,method,metric,n_scenes
False,clean,53.21899250647322,53.18540135316816,53.203624238098776,B0a,psnr_full,14
False,mild,29.595256359177874,28.249338415901754,28.875282047941123,B0a,psnr_full,14
False,moderate,22.196495388091982,21.056765024524044,21.59021759164035,B0a,psnr_full,14
False,bursty,16.26549385192314,15.2850896163337,15.738806898236929,B0a,psnr_full,14
False,harsh,16.089099115290523,15.469966945746318,15.751378281417345,B0a,psnr_full,14
False,clean,53.21899250647322,53.18540135316816,53.203624238098776,B0a-R,psnr_full,14
False,mild,29.90928280381222,28.479771052207152,29.142848654680623,B0a-R,psnr_full,14
False,moderate,24.54696752326724,23.119063780551098,23.773511586151297,B0a-R,psnr_full,14
False,bursty,21.45935006679876,20.34707673197462,20.85257707722859,B0a-R,psnr_full,14
False,harsh,19.125686979915,18.239067295297804,18.66082232749556,B0a-R,psnr_full,14
False,clean,28.797203240366393,25.458886620531505,26.92039112214247,B0d,psnr_full,14
False,mild,28.797203240366393,25.458886620531505,26.92039112214247,B0d,psnr_full,14
False,moderate,26.710058735785548,22.87604443289874,24.59911240673612,B0d,psnr_full,14
False,bursty,23.159049256703437,20.1666295494549,21.502426063332333,B0d,psnr_full,14
False,harsh,nan,nan,nan,B0d,psnr_full,0
False,clean,53.21899250647322,53.18540135316816,53.203624238098776,B1,psnr_full,14
False,mild,28.666705362914016,27.42821515398583,27.96569705455162,B1,psnr_full,14
False,moderate,21.292334613809956,20.257726048042894,20.729766851159262,B1,psnr_full,14
False,bursty,16.160294621039107,15.16937417375966,15.622806512356263,B1,psnr_full,14
False,harsh,15.512514908236898,14.902549116913406,15.183507442793196,B1,psnr_full,14
False,clean,53.21899250647322,53.18540135316816,53.203624238098776,B2,psnr_full,14
False,mild,28.67586144824767,27.449212630381275,27.984361553766735,B2,psnr_full,14
False,moderate,21.28931050656054,20.275096535940268,20.739524988917484,B2,psnr_full,14
False,bursty,16.121930260615255,15.155977146399001,15.60052908641944,B2,psnr_full,14
False,harsh,15.515769985107239,14.94029992247229,15.20138787443953,B2,psnr_full,14
True,clean,28.797203240366393,25.458886620531505,26.92039112214247,B3,psnr_full,14
True,mild,28.797203240366393,25.458886620531505,26.92039112214247,B3,psnr_full,14
True,moderate,28.800655877589335,25.460380617821485,26.922245973810476,B3,psnr_full,14
True,bursty,28.799478757937106,25.459101029465735,26.91837169270809,B3,psnr_full,14
True,harsh,nan,nan,nan,B3,psnr_full,0
True,clean,28.797203240366393,25.458886620531505,26.92039112214247,B4,psnr_full,14
True,mild,28.797203240366393,25.458886620531505,26.92039112214247,B4,psnr_full,14
True,moderate,25.99657305094633,22.66198895129405,24.17273922342755,B4,psnr_full,14
True,bursty,23.24856491069314,20.152171808723224,21.544818184175927,B4,psnr_full,14
True,harsh,nan,nan,nan,B4,psnr_full,0
True,clean,26.399769274479294,23.053065483520857,24.530585098930086,P,psnr_full,14
True,mild,26.399769274479294,23.053065483520857,24.530585098930086,P,psnr_full,14
True,moderate,26.149762733445506,22.737237048960854,24.249569075985374,P,psnr_full,14
True,bursty,24.751198522144517,21.327141110523915,22.849027665943954,P,psnr_full,14
True,harsh,nan,nan,nan,P,psnr_full,0
True,clean,27.456128455800187,24.330523341231462,25.706689350590676,B4t,psnr_full,14
True,mild,27.456128455800187,24.330523341231462,25.706689350590676,B4t,psnr_full,14
True,moderate,27.001539643923003,23.865652237468044,25.266102351425037,B4t,psnr_full,14
True,bursty,24.897207410693447,21.87947021256949,23.204282192669773,B4t,psnr_full,14
True,harsh,nan,nan,nan,B4t,psnr_full,0
