authenticated,corrected_symbols,coverage,estimated_fraction,frame_id,max_age_frames,method,payload_bytes,provenance,psnr_full,psnr_verified,rasters,realisation,resynchronised,source,ssim_full,ssim_verified,stale_fraction,status_auth_failed,status_filler,status_fragment_ok,status_frame_incomplete,status_frame_verified,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_verified,symbol_error_denominator,symbol_errors_pre_fec,sync_found,units_rejected,units_sent,units_verified,wire_bytes,x_authenticated,x_coverage_meaning,x_est_dx,x_est_dy,x_filler_units,x_fragments,x_fragments_recovered,x_segments,x_sync_score,x_units_per_raster
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,10.57164420929846,10.57164420929846,1,3,False,still_edges,0.371610033363125,0.371610033363125,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,-6.0,,,,,0.5256386067505875,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,9.892374900876415,9.892374900876415,1,4,False,still_edges,0.25590387465604425,0.25590387465604425,0.0,,,,,,,,,,,0,nan,False,0,0,0,0,False,"picture displayed, not verified",-2.0,2.0,,,,,0.04582249709462033,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,15.991748689369627,15.991748689369627,1,0,False,seq_illumination_slow,0.5924005590466931,0.5924005590466931,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.9628934111222115,
False,0,1.0,0.0,1,0.0,B0a,0,synthetic,12.635924766900768,12.635924766900768,1,0,False,seq_illumination_slow,0.4527331957595768,0.4527331957595768,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.9483357912428171,
False,0,1.0,0.0,2,0.0,B0a,0,synthetic,17.633497889507897,17.633497889507897,1,0,False,seq_illumination_slow,0.6795108501618792,0.6795108501618792,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.951093533636592,
False,0,1.0,0.0,3,0.0,B0a,0,synthetic,15.219409977221595,15.219409977221595,1,0,False,seq_illumination_slow,0.6358148650023575,0.6358148650023575,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.964867552205144,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,12.451328008840035,12.451328008840035,1,1,False,seq_illumination_slow,0.3595815211617553,0.3595815211617553,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.9801153150286368,
False,0,1.0,0.0,1,0.0,B0a,0,synthetic,15.656746550648222,15.656746550648222,1,1,False,seq_illumination_slow,0.6220612316569389,0.6220612316569389,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.9736420838166856,
False,0,1.0,0.0,2,0.0,B0a,0,synthetic,15.63425736441115,15.63425736441115,1,1,False,seq_illumination_slow,0.5876231104313411,0.5876231104313411,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.9647065582716637,
False,0,1.0,0.0,3,0.0,B0a,0,synthetic,14.652000269841361,14.652000269841361,1,1,False,seq_illumination_slow,0.6016772148509218,0.6016772148509218,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.9758334317385748,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,15.6186897050123,15.6186897050123,1,2,False,seq_illumination_slow,0.6095856735800682,0.6095856735800682,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.9809927329698312,
False,0,1.0,0.0,1,0.0,B0a,0,synthetic,14.117710271620512,14.117710271620512,1,2,False,seq_illumination_slow,0.4714409283974101,0.4714409283974101,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.9842292466484954,
False,0,1.0,0.0,2,0.0,B0a,0,synthetic,14.046776309312412,14.046776309312412,1,2,False,seq_illumination_slow,0.4887884318666553,0.4887884318666553,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.9905437749164695,
False,0,1.0,0.0,3,0.0,B0a,0,synthetic,13.576650060684134,13.576650060684134,1,2,False,seq_illumination_slow,0.4887205369829999,0.4887205369829999,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.9724565865143998,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,13.384075318722353,13.384075318722353,1,3,False,seq_illumination_slow,0.46018590018763145,0.46018590018763145,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.969976292011853,
False,0,1.0,0.0,1,0.0,B0a,0,synthetic,14.88712567369642,14.88712567369642,1,3,False,seq_illumination_slow,0.5713919569941851,0.5713919569941851,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",0.0,0.0,,,,,0.9797383686113591,
