channel,hi,lo,mean,n_units,note,significant,unit_of_independence
clean,-2.932122651083704,-3.8910349841552647,-3.4507835468438297,18,,True,scene
mild,-2.932122651083704,-3.8910349841552647,-3.4507835468438297,18,,True,scene
moderate,0.23206217169348917,-0.7209376973571683,-0.2677704235441948,18,,False,scene
bursty,2.4409170746288753,0.6458503721109612,1.500336093113135,18,,True,scene
harsh,,,,0,немає даних,False,scene
