key_space,measured,measured_rate_seeds_per_s,projected_seconds,seconds,seed_width_bits,status
255,True,8603.658513472348,0.029638554296488998,0.029638554296488998,8,виміряно
4095,True,8603.658513472348,0.47596031311420567,0.47596031311420567,12,виміряно
65535,True,8603.658513472348,7.617108454197672,7.617108454197672,16,виміряно
1048575,False,8603.658513472348,121.87547871153313,nan,20,"ПРОЄКЦІЯ за виміряною швидкістю, не запуск"
16777215,False,8603.658513472348,1950.0094028289006,nan,24,"ПРОЄКЦІЯ за виміряною швидкістю, не запуск"
4294967295,False,8603.658513472348,499202.4367627528,nan,32,"ПРОЄКЦІЯ за виміряною швидкістю, не запуск"
