axis,coverage,method,n_scenes,psnr_full,value
noise_sigma,,B0a-R,6,31.63249691955279,0.0
noise_sigma,,B0a-R,6,31.69283253865262,2.0
noise_sigma,,B0a-R,6,31.30976708937489,4.0
noise_sigma,,B0a-R,6,30.75036238055381,6.0
noise_sigma,,B0a-R,6,30.05273017411662,8.0
noise_sigma,,B0a-R,6,28.604696760114013,12.0
noise_sigma,,B0a-R,6,27.218887792996274,16.0
noise_sigma,,B0a-R,6,24.90314486038497,24.0
noise_sigma,,B4,6,33.85508502268938,0.0
noise_sigma,,B4,6,33.85508502268938,2.0
noise_sigma,,B4,6,33.85508502268938,4.0
noise_sigma,,B4,6,33.85508502268938,6.0
noise_sigma,,B4,6,33.85508502268938,8.0
noise_sigma,,B4,6,33.85508502268938,12.0
noise_sigma,,B4,6,33.85508502268938,16.0
noise_sigma,,B4,6,33.85508502268938,24.0
noise_sigma,,P,6,30.241559729020338,0.0
noise_sigma,,P,6,30.241559729020338,2.0
noise_sigma,,P,6,30.241559729020338,4.0
noise_sigma,,P,6,30.241559729020338,6.0
noise_sigma,,P,6,30.241559729020338,8.0
noise_sigma,,P,6,30.241559729020338,12.0
noise_sigma,,P,6,30.241559729020338,16.0
noise_sigma,,P,6,30.241559729020338,24.0
noise_sigma,1.0,B0a-R,6,,0.0
noise_sigma,1.0,B0a-R,6,,2.0
noise_sigma,1.0,B0a-R,6,,4.0
noise_sigma,1.0,B0a-R,6,,6.0
noise_sigma,1.0,B0a-R,6,,8.0
noise_sigma,1.0,B0a-R,6,,12.0
noise_sigma,1.0,B0a-R,6,,16.0
noise_sigma,1.0,B0a-R,6,,24.0
noise_sigma,1.0,B4,6,,0.0
noise_sigma,1.0,B4,6,,2.0
noise_sigma,1.0,B4,6,,4.0
noise_sigma,1.0,B4,6,,6.0
noise_sigma,1.0,B4,6,,8.0
noise_sigma,1.0,B4,6,,12.0
noise_sigma,1.0,B4,6,,16.0
noise_sigma,1.0,B4,6,,24.0
noise_sigma,1.0,P,6,,0.0
noise_sigma,1.0,P,6,,2.0
noise_sigma,1.0,P,6,,4.0
noise_sigma,1.0,P,6,,6.0
noise_sigma,1.0,P,6,,8.0
noise_sigma,1.0,P,6,,12.0
noise_sigma,1.0,P,6,,16.0
noise_sigma,1.0,P,6,,24.0
