bits_per_frame,codec,n_descriptions,psnr_full,quality,ssim_full,stripe_height
10284.0,dct,1,30.639729709661065,8,0.8718201939851575,48
11149.0,dct,1,30.639729709661065,8,0.8718201939851575,24
12047.75,dct,1,30.639729709661065,8,0.8718201939851575,16
13938.75,dct,1,32.498665373621726,12,0.9040637892387811,48
14809.5,dct,1,32.49546228764662,12,0.9040920995492154,24
15556.0,dct,1,34.994068145394024,18,0.9291997343996956,24
15834.0,dct,1,32.49546228764662,12,0.9040920995492154,16
18815.0,dct,1,34.451416006054245,18,0.9315687819275518,48
19202.285714285714,dct,1,36.415496951576365,25,0.9461848428830207,24
19671.333333333332,dct,1,38.94947828985888,35,0.9596450096048184,48
20533.0,dct,1,34.44296667068029,18,0.9311243288111503,16
20614.333333333332,dct,1,38.94947828985888,35,0.9596450096048184,24
20944.533333333333,dct,1,36.148524938419335,25,0.9475048551870817,48
24303.714285714286,dct,1,37.98938478382056,35,0.9596971098721211,16
24905.666666666668,dct,1,40.468473719048646,50,0.9700890060610105,48
25001.0,dct,1,35.903967613120756,25,0.9481837367997121,16
25537.333333333332,dct,1,40.46328756589707,50,0.9699930882926714,24
26744.0,dct,1,40.46328756589707,50,0.9699930882926714,16
28801.5,dct,1,42.04092982735542,70,0.9849164230998294,24
35049.666666666664,dct,1,42.6866601748977,70,0.9807581217785218,48
37553.90476190476,dct,1,42.525056902385835,70,0.9793955871544807,16
13409.0,dct,2,28.89637154957082,8,0.8234299213445211,48
17749.5,dct,2,30.500255919434085,12,0.8628032616439001,48
19298.85714285714,dct,2,32.96920909860676,18,0.896338423733034,48
21235.666666666668,dct,2,35.5502065084579,25,0.9162925503032845,48
26162.666666666668,dct,2,37.057276826840486,35,0.9338283175244447,48
28208.0,dct,2,38.14593278735382,50,0.9440848908557498,48
34471.38461538462,dct,2,40.85523729764601,70,0.9649882165034646,48
26911.5,jpeg,1,30.697278105280013,8,0.8728065931892814,48
28161.666666666668,jpeg,1,36.04001580583522,18,0.9289913089475167,48
29945.714285714286,jpeg,1,31.310431302621346,8,0.874029097161782,24
30195.58620689655,jpeg,1,32.98586066463237,12,0.9024987735063182,48
31937.846153846152,jpeg,1,33.51072748297983,12,0.9013141940823515,24
32764.333333333332,jpeg,1,36.03810463610734,18,0.9289218430525018,24
33252.0,jpeg,1,37.400120311262164,25,0.9458903629734451,48
35293.0,jpeg,1,37.396049823892355,25,0.9458107075676141,24
37043.11111111111,jpeg,1,38.81860954541212,35,0.9562836211678203,24
39404.0,jpeg,1,43.82306089013136,70,0.9893771945798843,48
39765.333333333336,jpeg,1,40.729392068350485,50,0.9818026471459903,24
40167.666666666664,jpeg,1,38.97447547922277,35,0.9599989216978769,48
42033.0,jpeg,1,30.686821977545712,8,0.8723660009727747,16
43012.0,jpeg,1,36.03810463610734,18,0.9289218430525018,16
44381.0,jpeg,1,32.4945923564277,12,0.9040222183183171,16
45113.391304347824,jpeg,1,37.322468929104446,25,0.9447569952939997,16
45842.0,jpeg,1,43.645912217674656,70,0.9886738270967581,24
46688.72727272727,jpeg,1,40.7681198479084,50,0.9710012151540446,48
48144.36363636364,jpeg,1,38.809918605302826,35,0.9577588029417288,16
51769.5,jpeg,1,40.84933360943891,50,0.9679992951867523,16
52022.666666666664,jpeg,1,42.4111454715946,70,0.986741813881844,16
32668.333333333332,jpeg,2,32.41731619259274,12,0.8692895528450073,48
32837.142857142855,jpeg,2,29.659929163906536,8,0.8357119549970805,48
33919.0,jpeg,2,35.95966098592105,25,0.9174149515637997,48
35270.0,jpeg,2,38.30856461724752,35,0.9331139284784125,48
35551.6,jpeg,2,34.206818708372424,18,0.8970226864563994,48
43722.666666666664,jpeg,2,39.44893784211717,50,0.946345955303345,48
44272.0,jpeg,2,42.25976855654303,70,0.9862965876110935,48
