coverage,method,psnr_full,scenario,t_frame
,B0a-R,30.64040366765541,clean_burst_clean,45.0
,B0a-R,30.60422093379573,clean_burst_clean,46.0
,B0a-R,30.575666573663984,clean_burst_clean,47.0
,B4,32.91130380401873,clean_burst_clean,0.0
,B4,33.21120748326727,clean_burst_clean,1.0
,B4,32.92550264819231,clean_burst_clean,2.0
,B4,32.974772858020366,clean_burst_clean,3.0
,B4,32.86335854763296,clean_burst_clean,4.0
,B4,32.94816376508657,clean_burst_clean,5.0
,B4,32.96137729660857,clean_burst_clean,6.0
,B4,32.99634977315114,clean_burst_clean,7.0
,B4,32.807361587335244,clean_burst_clean,8.0
,B4,32.69642114651879,clean_burst_clean,9.0
,B4,32.62204851732701,clean_burst_clean,10.0
,B4,32.7666367039847,clean_burst_clean,11.0
,B4,13.779147634135258,clean_burst_clean,12.0
,B4,13.877809542356921,clean_burst_clean,13.0
,B4,13.94659505103995,clean_burst_clean,14.0
,B4,13.922706643116754,clean_burst_clean,15.0
,B4,13.825211449414704,clean_burst_clean,16.0
,B4,13.752481422602377,clean_burst_clean,17.0
,B4,13.712011158556544,clean_burst_clean,18.0
,B4,13.687655189820562,clean_burst_clean,19.0
,B4,13.685341659418077,clean_burst_clean,20.0
,B4,13.710067943265322,clean_burst_clean,21.0
,B4,13.805399080032108,clean_burst_clean,22.0
,B4,13.90914211771045,clean_burst_clean,23.0
,B4,33.069903344812154,clean_burst_clean,24.0
,B4,33.13892207392477,clean_burst_clean,25.0
,B4,33.35478257454873,clean_burst_clean,26.0
,B4,33.25937205821388,clean_burst_clean,27.0
,B4,32.99860197708852,clean_burst_clean,28.0
,B4,32.845602034430215,clean_burst_clean,29.0
,B4,32.75688724745098,clean_burst_clean,30.0
,B4,32.800750262631745,clean_burst_clean,31.0
,B4,32.692932678984214,clean_burst_clean,32.0
,B4,32.764327014293976,clean_burst_clean,33.0
,B4,32.642910241070346,clean_burst_clean,34.0
,B4,32.71874557694236,clean_burst_clean,35.0
,B4,32.94227347575655,clean_burst_clean,36.0
,B4,32.97874740453508,clean_burst_clean,37.0
,B4,32.678794960249135,clean_burst_clean,38.0
,B4,32.67938312640649,clean_burst_clean,39.0
,B4,32.66565949919275,clean_burst_clean,40.0
,B4,32.80647792224637,clean_burst_clean,41.0
,B4,32.70638297798639,clean_burst_clean,42.0
,B4,32.759652288754445,clean_burst_clean,43.0
,B4,32.753706078778755,clean_burst_clean,44.0
,B4,32.90765255724662,clean_burst_clean,45.0
,B4,33.12154020931542,clean_burst_clean,46.0
,B4,33.23676812232787,clean_burst_clean,47.0
,P,29.317313883069588,clean_burst_clean,0.0
,P,29.689912724788197,clean_burst_clean,1.0
,P,29.591677318490003,clean_burst_clean,2.0
,P,29.39497528502253,clean_burst_clean,3.0
,P,29.29318194949478,clean_burst_clean,4.0
,P,29.35610505404001,clean_burst_clean,5.0
,P,29.518424217821163,clean_burst_clean,6.0
,P,29.525856211540056,clean_burst_clean,7.0
,P,29.343499422889682,clean_burst_clean,8.0
,P,29.16938785426665,clean_burst_clean,9.0
,P,29.13444893572753,clean_burst_clean,10.0
,P,29.31579197264882,clean_burst_clean,11.0
,P,13.779147634135258,clean_burst_clean,12.0
,P,13.877809542356921,clean_burst_clean,13.0
,P,13.94659505103995,clean_burst_clean,14.0
,P,13.922706643116754,clean_burst_clean,15.0
,P,13.825211449414704,clean_burst_clean,16.0
,P,13.752481422602377,clean_burst_clean,17.0
,P,13.712011158556544,clean_burst_clean,18.0
,P,13.687655189820562,clean_burst_clean,19.0
,P,13.685341659418077,clean_burst_clean,20.0
,P,13.710067943265322,clean_burst_clean,21.0
,P,13.805399080032108,clean_burst_clean,22.0
,P,13.90914211771045,clean_burst_clean,23.0
,P,29.558728528953306,clean_burst_clean,24.0
,P,29.63888195125227,clean_burst_clean,25.0
,P,29.745146508454493,clean_burst_clean,26.0
,P,29.714318465811605,clean_burst_clean,27.0
,P,29.38010256359721,clean_burst_clean,28.0
,P,29.193240592394954,clean_burst_clean,29.0
,P,29.221132365319676,clean_burst_clean,30.0
,P,29.425821212651424,clean_burst_clean,31.0
,P,29.416506792179586,clean_burst_clean,32.0
,P,29.349109582117674,clean_burst_clean,33.0
,P,29.213118047244393,clean_burst_clean,34.0
,P,29.22403040267932,clean_burst_clean,35.0
,P,29.432483294438626,clean_burst_clean,36.0
,P,29.354119914804084,clean_burst_clean,37.0
,P,29.194653273961837,clean_burst_clean,38.0
,P,29.11972643666088,clean_burst_clean,39.0
,P,29.095577682776494,clean_burst_clean,40.0
,P,29.33051770252503,clean_burst_clean,41.0
,P,29.383170665015424,clean_burst_clean,42.0
,P,29.32730361592505,clean_burst_clean,43.0
,P,29.27325890663194,clean_burst_clean,44.0
,P,29.301960715489287,clean_burst_clean,45.0
,P,29.521388743621117,clean_burst_clean,46.0
,P,29.58180456338319,clean_burst_clean,47.0
1.0,B0a-R,,clean_burst_clean,0.0
1.0,B0a-R,,clean_burst_clean,1.0
1.0,B0a-R,,clean_burst_clean,2.0
1.0,B0a-R,,clean_burst_clean,3.0
1.0,B0a-R,,clean_burst_clean,4.0
