P_minus_B4,burst_len_lines,ci95_halfwidth,decisive,noise_sigma
-3.599550623333034,1.0,3.1423927251661654,True,0.0
-3.599550623333034,1.0,3.1423927251661654,True,4.0
-3.599550623333034,1.0,3.1423927251661654,True,8.0
-3.599550623333034,1.0,3.1423927251661654,True,12.0
-3.599550623333034,1.0,3.1423927251661654,True,16.0
-3.599550623333034,4.0,3.1423927251661654,True,0.0
-3.599550623333034,4.0,3.1423927251661654,True,4.0
-3.599550623333034,4.0,3.1423927251661654,True,8.0
-3.599550623333034,4.0,3.1423927251661654,True,12.0
-3.599550623333034,4.0,3.1423927251661654,True,16.0
-3.599550623333034,8.0,3.1423927251661654,True,0.0
-3.599550623333034,8.0,3.1423927251661654,True,4.0
-3.599550623333034,8.0,3.1423927251661654,True,8.0
-3.599550623333034,8.0,3.1423927251661654,True,12.0
-3.599550623333034,8.0,3.1423927251661654,True,16.0
-3.599550623333034,16.0,3.1423927251661654,True,0.0
-3.599550623333034,16.0,3.1423927251661654,True,4.0
-3.599550623333034,16.0,3.1423927251661654,True,8.0
-3.599550623333034,16.0,3.1423927251661654,True,12.0
-3.599550623333034,16.0,3.1423927251661654,True,16.0
-3.599550623333034,32.0,3.1423927251661654,True,0.0
-3.599550623333034,32.0,3.1423927251661654,True,4.0
-3.599550623333034,32.0,3.1423927251661654,True,8.0
-3.599550623333034,32.0,3.1423927251661654,True,12.0
-3.599550623333034,32.0,3.1423927251661654,True,16.0
-3.599550623333034,48.0,3.1423927251661654,True,0.0
-3.599550623333034,48.0,3.1423927251661654,True,4.0
-3.599550623333034,48.0,3.1423927251661654,True,8.0
-3.599550623333034,48.0,3.1423927251661654,True,12.0
-3.599550623333034,48.0,3.1423927251661654,True,16.0
