axis,coverage,method,n_scenes,psnr_full,value
line_jitter_sigma,,B0a-R,6,31.590602369338484,0.0
line_jitter_sigma,,B0a-R,6,31.481897413036915,0.25
line_jitter_sigma,,B0a-R,6,30.86963208068796,0.5
line_jitter_sigma,,B0a-R,6,29.890350086314324,0.75
line_jitter_sigma,,B0a-R,6,28.83725232751375,1.0
line_jitter_sigma,,B0a-R,6,26.699129929783727,1.5
line_jitter_sigma,,B0a-R,6,24.798045405378407,2.0
line_jitter_sigma,,B4,6,33.85508502268938,0.0
line_jitter_sigma,,B4,6,33.85508502268938,0.25
line_jitter_sigma,,B4,6,33.85508502268938,0.5
line_jitter_sigma,,B4,6,33.85508502268938,0.75
line_jitter_sigma,,B4,6,33.73226834548963,1.0
line_jitter_sigma,,B4,6,28.30369742430894,1.5
line_jitter_sigma,,B4,6,15.048903842837328,2.0
line_jitter_sigma,,P,6,30.241559729020338,0.0
line_jitter_sigma,,P,6,30.241559729020338,0.25
line_jitter_sigma,,P,6,30.241559729020338,0.5
line_jitter_sigma,,P,6,30.241559729020338,0.75
line_jitter_sigma,,P,6,30.17552706988825,1.0
line_jitter_sigma,,P,6,28.49227149180163,1.5
line_jitter_sigma,,P,6,21.60940618750281,2.0
line_jitter_sigma,1.0,B0a-R,6,,0.0
line_jitter_sigma,1.0,B0a-R,6,,0.25
line_jitter_sigma,1.0,B0a-R,6,,0.5
line_jitter_sigma,1.0,B0a-R,6,,0.75
line_jitter_sigma,1.0,B0a-R,6,,1.0
line_jitter_sigma,1.0,B0a-R,6,,1.5
line_jitter_sigma,1.0,B0a-R,6,,2.0
line_jitter_sigma,1.0,B4,6,,0.0
line_jitter_sigma,1.0,B4,6,,0.25
line_jitter_sigma,1.0,B4,6,,0.5
line_jitter_sigma,1.0,B4,6,,0.75
line_jitter_sigma,0.9953703703703703,B4,6,,1.0
line_jitter_sigma,0.7962962962962963,B4,6,,1.5
line_jitter_sigma,0.04513888888888889,B4,6,,2.0
line_jitter_sigma,1.0,P,6,,0.0
line_jitter_sigma,1.0,P,6,,0.25
line_jitter_sigma,1.0,P,6,,0.5
line_jitter_sigma,1.0,P,6,,0.75
line_jitter_sigma,0.9965277777777777,P,6,,1.0
line_jitter_sigma,0.9062499999999999,P,6,,1.5
line_jitter_sigma,0.3796296296296297,P,6,,2.0
