frames_per_s,median_ms,method,pixels,resolution
21.177888759430314,47.24100000021281,B0a-R,12288.0,128x96
20.050020791707478,49.75240000203485,B0a-R,49152.0,256x192
17.71080731196589,55.45519999941462,B0a-R,76800.0,320x240
19.305347272228996,51.85640000127023,B0a-R,110592.0,384x288
10.264135202637622,92.97859999787761,B0d,12288.0,128x96
5.422581211593833,187.24490000022342,B0d,49152.0,256x192
3.429929523868387,289.23629999917466,B0d,76800.0,320x240
3.3164448904629644,293.25059999973746,B0d,110592.0,384x288
16.218001072809,63.59040000097593,B3,12288.0,128x96
14.239087377249003,76.70069999949192,B3,49152.0,256x192
14.055900315682473,75.5630999992718,B3,76800.0,320x240
11.639833745839937,86.45580000302289,B3,110592.0,384x288
7.750941778196741,137.7003000015975,B4,12288.0,128x96
3.953702460473718,271.56680000189226,B4,49152.0,256x192
2.5219246037368044,404.0912999989814,B4,76800.0,320x240
2.514113478834197,416.5286000024935,B4,110592.0,384x288
3.037558007473288,312.98900000183494,P,12288.0,128x96
1.9999212031012044,481.35629999887897,P,49152.0,256x192
