axis,coverage,method,n_scenes,psnr_full,value
burst_rate_per_frame,,B0a-R,6,31.5339412848214,0.0
burst_rate_per_frame,,B0a-R,6,30.982263215088988,1.0
burst_rate_per_frame,,B0a-R,6,29.92253164503471,2.0
burst_rate_per_frame,,B0a-R,6,26.036282392196046,4.0
burst_rate_per_frame,,B0a-R,6,24.087651173742753,6.0
burst_rate_per_frame,,B0a-R,6,21.756751740314883,8.0
burst_rate_per_frame,,B4,6,33.85508502268938,0.0
burst_rate_per_frame,,B4,6,33.58049151415886,1.0
burst_rate_per_frame,,B4,6,32.712906659844215,2.0
burst_rate_per_frame,,B4,6,30.966466533791024,4.0
burst_rate_per_frame,,B4,6,28.832192110120076,6.0
burst_rate_per_frame,,B4,6,26.943173676760974,8.0
burst_rate_per_frame,,P,6,30.241559729020338,0.0
burst_rate_per_frame,,P,6,29.962138409308675,1.0
burst_rate_per_frame,,P,6,29.45015553486637,2.0
burst_rate_per_frame,,P,6,28.146723980813096,4.0
burst_rate_per_frame,,P,6,27.926890430509022,6.0
burst_rate_per_frame,,P,6,27.67631826858408,8.0
burst_rate_per_frame,1.0,B0a-R,6,,0.0
burst_rate_per_frame,1.0,B0a-R,6,,1.0
burst_rate_per_frame,1.0,B0a-R,6,,2.0
burst_rate_per_frame,1.0,B0a-R,6,,4.0
burst_rate_per_frame,1.0,B0a-R,6,,6.0
burst_rate_per_frame,1.0,B0a-R,6,,8.0
burst_rate_per_frame,1.0,B4,6,,0.0
burst_rate_per_frame,0.9907407407407408,B4,6,,1.0
burst_rate_per_frame,0.9629629629629629,B4,6,,2.0
burst_rate_per_frame,0.9027777777777778,B4,6,,4.0
burst_rate_per_frame,0.8159722222222222,B4,6,,6.0
burst_rate_per_frame,0.7453703703703703,B4,6,,8.0
burst_rate_per_frame,1.0,P,6,,0.0
burst_rate_per_frame,0.9884259259259259,P,6,,1.0
burst_rate_per_frame,0.9652777777777778,P,6,,2.0
burst_rate_per_frame,0.9108796296296297,P,6,,4.0
burst_rate_per_frame,0.8616898148148149,P,6,,6.0
burst_rate_per_frame,0.8223379629629629,P,6,,8.0
