admissible,availability,coverage,delta_hi,delta_lo,delta_psnr,label,psnr_full,step
True,0.8861111111111112,0.6489583333333333,nan,nan,nan,B4 (база),23.048900409267485,0
True,0.913888888888889,0.6729166666666665,1.9829,0.7672,1.388,+ менша одиниця 640→320 Б,24.436858639400217,1
True,0.9750000000000001,0.8453125000000001,4.8083,3.3263,4.0758,+ сильніший FEC nsym 96→128,28.51264373179508,2
True,0.9750000000000001,0.84375,-0.9282,-1.6321,-1.281,+ нижча якість 12→8,27.23165002039128,3
True,0.9916666666666668,0.8425347222222223,-0.8683,-1.7657,-1.2706,+ два описи (MDC),25.96109156875961,4
True,0.9944444444444446,0.7840277777777778,0.441,0.1147,0.2726,+ BAWP = P,26.23366714841007,5
