condition,level_A_psnr,level_B_psnr,mapped,method,note
clean,31.478849324217006,35.09482353269525,True,B4,
mild,31.478849324217006,35.09482353269525,True,B4,
moderate,27.60488617261167,12.010052735251897,True,B4,
harsh,12.185062704159574,11.90608857581509,True,B4,
clean,28.016913742188034,32.21965460980864,True,P,
mild,28.016913742188034,32.21965460980864,True,P,
moderate,27.59855625131674,31.28418836203827,True,P,
harsh,12.184555181112403,14.258343202267023,True,P,
