channel,hi,lo,mean_P_minus_B4,n_scenes,p_holm,significant_at_95,significant_holm
clean,-2.932122651083704,-3.8910349841552647,-3.4507835468438297,18,0.0004999500049995,True,True
mild,-2.932122651083704,-3.8910349841552647,-3.4507835468438297,18,0.0004999500049995,True,True
moderate,0.23206217169348917,-0.7209376973571683,-0.2677704235441948,18,0.26807319268073193,False,False
bursty,2.4409170746288753,0.6458503721109612,1.500336093113135,18,0.0029997000299970002,True,True
harsh,nan,nan,nan,0,1.0,False,False
