authenticated,channel,hi,lo,mean,method,metric,n_scenes
False,clean,56.95067012168585,53.85150958160049,55.21609654870416,B0a,psnr_full,20
False,mild,30.377238516778828,27.950416960462967,29.193483322649268,B0a,psnr_full,20
False,moderate,22.458893650265217,20.3893511542477,21.484627144566545,B0a,psnr_full,20
False,bursty,16.03432142505061,14.588471010184902,15.319495803829867,B0a,psnr_full,20
False,harsh,16.15488673465922,14.724746888355183,15.487502051391989,B0a,psnr_full,20
False,clean,56.95067012168585,53.85150958160049,55.21609654870416,B0a-R,psnr_full,20
False,mild,30.780090088457907,28.22626036008664,29.533319528603876,B0a-R,psnr_full,20
False,moderate,25.124051450588567,22.574183765972617,23.93143691525964,B0a-R,psnr_full,20
False,bursty,21.16769723510362,19.388999473021183,20.28276904185849,B0a-R,psnr_full,20
False,harsh,19.525059291206958,17.568769042853273,18.618228729629365,B0a-R,psnr_full,20
False,clean,33.32365482032115,29.617638183367912,31.53760715533356,B0d,psnr_full,19
False,mild,33.32365482032115,29.617638183367912,31.53760715533356,B0d,psnr_full,19
False,moderate,30.81351929838942,26.707767552507363,28.743769861629403,B0d,psnr_full,19
False,bursty,26.276476666340212,22.189005443081705,24.169917486850377,B0d,psnr_full,19
False,harsh,nan,nan,nan,B0d,psnr_full,0
False,clean,56.95067012168585,53.85150958160049,55.21609654870416,B1,psnr_full,20
False,mild,29.32766480938028,27.006429945670426,28.1916962213731,B1,psnr_full,20
False,moderate,21.701969709344432,19.603151272990356,20.69923916573296,B1,psnr_full,20
False,bursty,15.938515038093012,14.458609352697172,15.20549566672922,B1,psnr_full,20
False,harsh,15.716783805051247,14.244100269601608,15.015177485678063,B1,psnr_full,20
False,clean,56.95067012168585,53.85150958160049,55.21609654870416,B2,psnr_full,20
False,mild,29.31420125994181,26.993419198130415,28.17740666286493,B2,psnr_full,20
False,moderate,21.61401368025985,19.540326950269932,20.622569620677133,B2,psnr_full,20
False,bursty,15.931092620391505,14.462580637423864,15.202953858275782,B2,psnr_full,20
False,harsh,15.654978077731833,14.186479470199462,14.955052518849524,B2,psnr_full,20
True,clean,33.02702992780319,29.26511165550549,31.183555513102544,B3,psnr_full,20
True,mild,33.02702992780319,29.26511165550549,31.183555513102544,B3,psnr_full,20
True,moderate,33.03010363359621,29.268678933819704,31.18870648907266,B3,psnr_full,20
True,bursty,33.025748849024396,29.255749014507842,31.17748940169637,B3,psnr_full,20
True,harsh,nan,nan,nan,B3,psnr_full,0
True,clean,33.32365482032115,29.617638183367912,31.53760715533356,B4,psnr_full,19
True,mild,33.32365482032115,29.617638183367912,31.53760715533356,B4,psnr_full,19
True,moderate,29.787023698739947,25.927036190386406,27.86005072756061,B4,psnr_full,19
True,bursty,26.22033245314617,22.162542544976652,24.135300394766055,B4,psnr_full,19
True,harsh,nan,nan,nan,B4,psnr_full,0
True,clean,30.25917559673174,26.24878174490817,28.316649016155488,P,psnr_full,18
True,mild,30.25917559673174,26.24878174490817,28.316649016155488,P,psnr_full,18
True,moderate,29.83606627777993,25.764306618838383,27.863196416129753,P,psnr_full,18
True,bursty,27.945748306664502,23.805503150889464,25.907045444354626,P,psnr_full,18
True,harsh,nan,nan,nan,P,psnr_full,0
True,clean,31.32162087659719,27.802704016076365,29.62073799795876,B4t,psnr_full,19
True,mild,31.32162087659719,27.802704016076365,29.62073799795876,B4t,psnr_full,19
True,moderate,30.85844420908363,27.26014101601652,29.103142225433466,B4t,psnr_full,19
True,bursty,28.69887400741146,24.902333690799267,26.807865782839578,B4t,psnr_full,19
True,harsh,nan,nan,nan,B4t,psnr_full,0
